Type,Timekeeper Nickname 1,Client Nickname 1,Activity Nickname 1,Reference Nickname 1,Extra,Date
Expense,SamS,Abington,Cleanup Supplies,UUU-Project,Slip: e703,6/25/2013
Expense,ShawnR,Acton,Pavers,,Slip: e704,6/25/2013
Expense,TomH,Acushnet,Wood,AAA-Project,Slip: e705,6/26/2013
Expense,CoreyM,Adams,First aid,ADAMS-Project01,Slip: e706,6/26/2013
Expense,ElvisP,Agawam,Plants,AGAWA-Project02,Slip: e707,6/26/2013
Expense,SamS,Alford,Landscape Supplies,EEE-Project,Slip: e708,6/26/2013
Expense,ShawnR,Amesbury,Snacks,III-Project,Slip: e709,6/27/2013
Expense,TomH,Amherst,Consultants,OOO-Project,Slip: e710,6/27/2013
Expense,CoreyM,Andover,Hand Tools,UUU-Project,Slip: e711,6/27/2013
Expense,ElvisP,Aquinnah,Power Tools,,Slip: e712,6/27/2013
Expense,SamS,Arlington,Cleanup Supplies,AAA-Project,Slip: e713,6/28/2013
Expense,ShawnR,Ashburnham,Pavers,ASHBU-Project01,Slip: e714,6/28/2013
Expense,TomH,Ashby,Wood,ASHBY-Project02,Slip: e715,6/28/2013
Expense,CoreyM,Ashfield,First aid,EEE-Project,Slip: e716,6/28/2013
Expense,ElvisP,Ashland,Plants,III-Project,Slip: e717,6/29/2013
Expense,SamS,Athol,Landscape Supplies,OOO-Project,Slip: e718,6/29/2013
Expense,ShawnR,Attleboro,Snacks,UUU-Project,Slip: e719,6/29/2013
Expense,TomH,Auburn,Consultants,,Slip: e720,6/29/2013
Expense,CoreyM,Avon,Hand Tools,AAA-Project,Slip: e721,6/30/2013
Expense,ElvisP,Ayer,Power Tools,AYER-Project01,Slip: e722,6/30/2013
Expense,SamS,Barnstable,Cleanup Supplies,BARNS-Project02,Slip: e723,6/30/2013
Expense,ShawnR,Barre,Pavers,EEE-Project,Slip: e724,6/30/2013
Expense,TomH,Becket,Wood,III-Project,Slip: e725,7/1/2013
Expense,CoreyM,Bedford,First aid,OOO-Project,Slip: e726,7/1/2013
Expense,ElvisP,Belchertown,Plants,UUU-Project,Slip: e727,7/1/2013
Expense,SamS,Bellingham,Landscape Supplies,,Slip: e728,7/1/2013
Expense,ShawnR,Belmont,Snacks,AAA-Project,Slip: e729,7/2/2013
Expense,TomH,Berkley,Consultants,BERKL-Project01,Slip: e730,7/2/2013
Expense,CoreyM,Berlin,Hand Tools,BERLI-Project02,Slip: e731,7/2/2013
Expense,ElvisP,Bernardston,Power Tools,EEE-Project,Slip: e732,7/2/2013
Expense,SamS,Beverly,Cleanup Supplies,III-Project,Slip: e733,7/3/2013
Expense,ShawnR,Billerica,Pavers,OOO-Project,Slip: e734,7/3/2013
Expense,TomH,Blackstone,Wood,UUU-Project,Slip: e735,7/3/2013
Expense,CoreyM,Blandford,First aid,,Slip: e736,7/3/2013
Expense,ElvisP,Bolton,Plants,AAA-Project,Slip: e737,7/4/2013
Expense,SamS,Boston,Landscape Supplies,BOSTO-Project01,Slip: e738,7/4/2013
Expense,ShawnR,Bourne,Snacks,BOURN-Project02,Slip: e739,7/4/2013
Expense,TomH,Boxborough,Consultants,EEE-Project,Slip: e740,7/4/2013
Expense,CoreyM,Boxford,Hand Tools,III-Project,Slip: e741,7/5/2013
Expense,ElvisP,Boylston,Power Tools,OOO-Project,Slip: e742,7/5/2013
Expense,SamS,Braintree,Cleanup Supplies,UUU-Project,Slip: e743,7/5/2013
Expense,ShawnR,Brewster,Pavers,,Slip: e744,7/5/2013
Expense,TomH,Bridgewater,Wood,AAA-Project,Slip: e745,7/6/2013
Expense,CoreyM,Brimfield,First aid,BRIMF-Project01,Slip: e746,7/6/2013
Expense,ElvisP,Brockton,Plants,BROCK-Project02,Slip: e747,7/6/2013
Expense,SamS,Brookfield,Landscape Supplies,EEE-Project,Slip: e748,7/6/2013
Expense,ShawnR,Brookline,Snacks,III-Project,Slip: e749,7/7/2013
Expense,TomH,Buckland,Consultants,OOO-Project,Slip: e750,7/7/2013
Expense,CoreyM,Burlington,Hand Tools,UUU-Project,Slip: e751,7/7/2013
Expense,ElvisP,Cambridge,Power Tools,,Slip: e752,7/7/2013
Expense,SamS,Canton,Cleanup Supplies,AAA-Project,Slip: e753,7/8/2013
Expense,ShawnR,Carlisle,Pavers,CARLI-Project01,Slip: e754,7/8/2013
Expense,TomH,Carver,Wood,CARVE-Project02,Slip: e755,7/8/2013
Expense,CoreyM,Charlemont,First aid,EEE-Project,Slip: e756,7/8/2013
Expense,ElvisP,Charlton,Plants,III-Project,Slip: e757,7/9/2013
Expense,SamS,Chatham,Landscape Supplies,OOO-Project,Slip: e758,7/9/2013
Expense,ShawnR,Chelmsford,Snacks,UUU-Project,Slip: e759,7/9/2013
Expense,TomH,Chelsea,Consultants,,Slip: e760,7/9/2013
Expense,CoreyM,Cheshire,Hand Tools,AAA-Project,Slip: e761,7/10/2013
Expense,ElvisP,Chester,Power Tools,CHEST-Project01,Slip: e762,7/10/2013
Expense,SamS,Chesterfield,Cleanup Supplies,CHEST-Project02,Slip: e763,7/10/2013
Expense,ShawnR,Chicopee,Pavers,EEE-Project,Slip: e764,7/10/2013
Expense,TomH,Chilmark,Wood,III-Project,Slip: e765,7/11/2013
Expense,CoreyM,Clarksburg,First aid,OOO-Project,Slip: e766,7/11/2013
Expense,ElvisP,Clinton,Plants,UUU-Project,Slip: e767,7/11/2013
Expense,SamS,Cohasset,Landscape Supplies,,Slip: e768,7/11/2013
Expense,ShawnR,Colrain,Snacks,AAA-Project,Slip: e769,7/12/2013
Expense,TomH,Concord,Consultants,CONCO-Project01,Slip: e770,7/12/2013
Expense,CoreyM,Conway,Hand Tools,CONWA-Project02,Slip: e771,7/12/2013
Expense,ElvisP,Cummington,Power Tools,EEE-Project,Slip: e772,7/12/2013
Expense,SamS,Dalton,Cleanup Supplies,III-Project,Slip: e773,7/13/2013
Expense,ShawnR,Danvers,Pavers,OOO-Project,Slip: e774,7/13/2013
Expense,TomH,Dartmouth,Wood,UUU-Project,Slip: e775,7/13/2013
Expense,CoreyM,Dedham,First aid,,Slip: e776,7/13/2013
Expense,ElvisP,Deerfield,Plants,AAA-Project,Slip: e777,7/14/2013
