NN1,NN2,FullName,Default Description,billstatus,Category,Quantity,PriceLevel,Price1,Price2,Price3,Price4,Price5,Price6,Price7,Price8,Price9,Price10,Price11,Price12,Price13,Price14,Price15,Price16,Price17,Price18,Price19,Price20,customDate,customHours,customList,customMoney,customNum,customPercent,customText
Power Tools,E002,Electric tools,"Drills, skill saws, nail guns, etc.",Billable,Hardware,2.125,2,202.001,202.002,202.003,202.004,202.005,202.006,202.007,202.008,202.009,202.01,202.011,202.012,202.013,202.014,202.015,202.016,202.017,202.018,202.019,202.02,12/2/2016,302.02,Hardware,302.02,302.02,302.02,Power Tools
Cleanup Supplies,E003,General stuff to help clean up,"Trash Bags, trash bags, and more trash bags",No Charge,Supplies,3.125,3,203.001,203.002,203.003,203.004,203.005,203.006,203.007,203.008,203.009,203.01,203.011,203.012,203.013,203.014,203.015,203.016,203.017,203.018,203.019,203.02,12/3/2016,303.03,Supplies,303.03,303.03,303.03,Cleanup Supplies
Pavers,E004,Rock,Stuff used to make a patio or walkway,Billable,Materials,4.125,4,204.001,204.002,204.003,204.004,204.005,204.006,204.007,204.008,204.009,204.01,204.011,204.012,204.013,204.014,204.015,204.016,204.017,204.018,204.019,204.02,12/4/2016,304.04,Materials,304.04,304.04,304.04,Pavers
Wood,E005,Timber,Stuff used to build structures and other things,Override,Materials,5.125,5,205.001,205.002,205.003,205.004,205.005,205.006,205.007,205.008,205.009,205.01,205.011,205.012,205.013,205.014,205.015,205.016,205.017,205.018,205.019,205.02,12/5/2016,305.05,Materials,305.05,305.05,305.05,Wood
First aid,E006,Medical supplies,Stuff used to glue fingers back on or tape wounds shut,Do Not Bill,Supplies,6.125,6,206.001,206.002,206.003,206.004,206.005,206.006,206.007,206.008,206.009,206.01,206.011,206.012,206.013,206.014,206.015,206.016,206.017,206.018,206.019,206.02,12/6/2016,306.06,Supplies,306.06,306.06,306.06,First aid
Plants,E007,Trees and Bushes,Things you plant in the ground,Billable,Materials,7.125,7,207.001,207.002,207.003,207.004,207.005,207.006,207.007,207.008,207.009,207.01,207.011,207.012,207.013,207.014,207.015,207.016,207.017,207.018,207.019,207.02,12/7/2016,307.07,Materials,307.07,307.07,307.07,Plants
Landscape Supplies,E008,Plant food,Compost and other types of poop for plants,Override,Supplies,8.125,8,208.001,208.002,208.003,208.004,208.005,208.006,208.007,208.008,208.009,208.01,208.011,208.012,208.013,208.014,208.015,208.016,208.017,208.018,208.019,208.02,12/8/2016,308.08,Supplies,308.08,308.08,308.08,Landscape Supplies
Snacks,E009,Body Fuel,Nacho chips mostly and some beef jerky,Billable,Supplies,9.125,9,209.001,209.002,209.003,209.004,209.005,209.006,209.007,209.008,209.009,209.01,209.011,209.012,209.013,209.014,209.015,209.016,209.017,209.018,209.019,209.02,12/9/2016,309.09,Supplies,309.09,309.09,309.09,Snacks
Consultants,E010,Expert help,Hiring folks to do stuff we cannot do,Billable,Other,10.125,10,210.001,210.002,210.003,210.004,210.005,210.006,210.007,210.008,210.009,210.01,210.011,210.012,210.013,210.014,210.015,210.016,210.017,210.018,210.019,210.02,12/10/2016,310.1,Other,310.1,310.1,310.1,Consultants
Safety,E011,Safety Supplies,"Protection for eyes, ears, hands, etc.",Billable,Other,11.125,11,211.001,211.002,211.003,211.004,211.005,211.006,211.007,211.008,211.009,211.01,211.011,211.012,211.013,211.014,211.015,211.016,211.017,211.018,211.019,211.02,12/11/2016,311.1,Other,311.1,311.1,311.1,Safety
