nn1,nn2,fullname,description,billstatus,category,estimated,spent,Rate01,Rate02,Rate03,Rate04,Rate05,Rate06,Rate07,Rate08,Rate09,Rate10,Rate11,Rate12,Rate13,Rate14,Rate15,Rate16,Rate17,Rate18,Rate19,Rate20,customDate,customHours,customList,customMoney,customNum,customPercent,customText
DemoS,CON002,Remove Structure,Rip down something old,Billable,Construction,2.1,2.2,102.01,102.02,102.03,102.04,102.05,102.06,102.07,102.08,102.09,102.1,102.11,102.12,102.13,102.14,102.15,102.16,102.17,102.18,102.19,102.2,1/2/2015,202.02,Construction,202.02,202.02,202.02,Remove Structure
Fix,CON003,Repair Structure,Take something old and make it better,Billable,Construction,3.1,3.2,103.01,103.02,103.03,103.04,103.05,103.06,103.07,103.08,103.09,103.1,103.11,103.12,103.13,103.14,103.15,103.16,103.17,103.18,103.19,103.2,1/3/2015,303.03,Construction,303.03,303.03,303.03,Repair Structure
Bid,GEN004,Estimate - Flat,Promise you can do something great,Override,General,4.1,4.2,104.01,104.02,104.03,104.04,104.05,104.06,104.07,104.08,104.09,104.1,104.11,104.12,104.13,104.14,104.15,104.16,104.17,104.18,104.19,104.2,1/4/2015,404.04,General,404.04,404.04,404.04,Estimate - Flat
Clean,GEN005,Clean Up,Take away wreckage and trash and then sweep up,Do Not Bill,General,5.1,5.2,105.01,105.02,105.03,105.04,105.05,105.06,105.07,105.08,105.09,105.1,105.11,105.12,105.13,105.14,105.15,105.16,105.17,105.18,105.19,105.2,1/5/2015,505.05,General,505.05,505.05,505.05,Clean Up
DesignS,CON006,Structure Design,Noodle about a new structure,Billable,Construction,6.1,6.2,106.01,106.02,106.03,106.04,106.05,106.06,106.07,106.08,106.09,106.1,106.11,106.12,106.13,106.14,106.15,106.16,106.17,106.18,106.19,106.2,1/6/2015,606.06,Construction,606.06,606.06,606.06,Structure Design
DesignL,LND007,Landscape Design,Noodle about landscape,Billable,Landscape,7.1,7.2,107.01,107.02,107.03,107.04,107.05,107.06,107.07,107.08,107.09,107.1,107.11,107.12,107.13,107.14,107.15,107.16,107.17,107.18,107.19,107.2,1/7/2015,707.07,Landscape,707.07,707.07,707.07,Landscape Design
Planting,LND008,Install trees and shrubs,Plant all kinds of stuff,Billable,Landscape,8.1,8.2,108.01,108.02,108.03,108.04,108.05,108.06,108.07,108.08,108.09,108.1,108.11,108.12,108.13,108.14,108.15,108.16,108.17,108.18,108.19,108.2,1/8/2015,808.08,Landscape,808.08,808.08,808.08,Install trees and shrubs
Lot Maintenance,LND009,Maintain Landscape,"Mow, trim, dig up, and spread",Override,Landscape,9.1,9.2,109.01,109.02,109.03,109.04,109.05,109.06,109.07,109.08,109.09,109.1,109.11,109.12,109.13,109.14,109.15,109.16,109.17,109.18,109.19,109.2,1/9/2015,909.09,Landscape,909.09,909.09,909.09,Maintain Landscape
Water Feature,LND010,Install Water Feature,Make something splash and flow,No Charge,Landscape,10.1,10.2,110.01,110.02,110.03,110.04,110.05,110.06,110.07,110.08,110.09,110.1,110.11,110.12,110.13,110.14,110.15,110.16,110.17,110.18,110.19,110.2,1/10/2015,1010.1,Landscape,1010.1,1010.1,1010.1,Install Water Feature
Pave,LND011,Install Pavers,Create pretty pattern with stones,Billable,Landscape,11.1,11.2,111.01,111.02,111.03,111.04,111.05,111.06,111.07,111.08,111.09,111.1,111.11,111.12,111.13,111.14,111.15,111.16,111.17,111.18,111.19,111.2,1/11/2015,1111.11,Landscape,1111.11,1111.11,1111.11,Install Pavers
