"Abington","715.28","0.00","2285.54","2072.74","854.26","5927.82","5073.56"
"Acton","0.00","0.00","2251.08","2310.55","967.80","5529.43","4561.63"
"Acushnet","0.00","0.00","140.43","2538.90","0.00","2679.33","2679.33"
"Adams","359.22","0.00","132.65","396.25","1349.24","2237.36","888.12"
"Agawam","441.50","0.00","0.00","416.93","108.82","967.25","858.43"
"Alford","349.83","0.00","388.99","388.35","621.32","1748.49","1127.17"
"Amesbury","491.04","300.56","2013.81","2941.98","2348.34","8095.73","5747.39"
"Amherst","1364.25","347.14","357.82","1479.76","1038.86","4587.83","3548.97"
"Andover","3523.04","1441.78","3056.54","1470.10","1927.76","11419.22","9491.46"
"Aquinnah","866.84","0.00","1832.87","1626.04","18.37","4344.12","4325.75"
"Arlington","1078.34","0.00","2077.33","1862.96","778.42","5797.05","5018.63"
"Ashburnham","1220.86","0.50","2337.36","2102.30","888.86","6549.88","5661.02"
"Ashby","253.91","0.47","2571.22","2334.12","1002.75","6162.47","5159.72"
"Ashfield","350.91","0.89","246.36","2547.53","13.84","3159.53","3145.69"
"Ashland","879.90","0.00","449.85","253.47","1219.86","2803.08","1583.22"
"Athol","1008.13","0.00","0.00","458.07","132.48","1598.68","1466.20"
"Attleboro","307.59","0.00","923.59","5.06","239.01","1475.25","1236.24"
"Auburn","657.88","2.51","1152.89","928.60","361.68","3103.56","2741.88"
"Avon","1411.44","2.95","9.43","1156.41","651.78","3232.01","2580.23"
"Ayer","1723.90","3.71","1625.70","0.00","458.62","3811.93","3353.31"
"Barnstable","2912.11","0.00","1849.47","1634.06","21.10","6416.74","6395.64"
"Barre","0.00","0.00","1987.83","3.12","8.45","1999.40","1990.95"
"Becket","497.43","0.00","0.00","2089.70","10.99","2598.12","2587.13"
"Bedford","137.52","0.00","2568.73","2339.19","21.95","5067.39","5045.44"
"Belchertown","0.00","0.00","132.09","2570.70","0.00","2702.79","2702.79"
"Bellingham","2187.13","5.83","482.76","233.49","12.35","2921.56","2909.21"
"Belmont","3145.75","5.06","0.00","478.66","15.41","3644.88","3629.47"
"Berkley","1396.77","0.00","907.42","9.47","9.83","2323.49","2313.66"
"Berlin","686.09","0.00","1135.11","929.16","12.23","2762.59","2750.36"
"Bernardston","1235.99","2.78","8.27","1155.73","35.13","2437.90","2402.77"
"Beverly","2404.85","5.13","903.37","40.56","0.00","3353.91","3353.91"
"Billerica","1687.03","0.00","1892.34","1604.16","22.01","5205.54","5183.53"
"Blackstone","1350.04","34.09","2066.50","1862.12","20.50","5333.25","5312.75"
"Blandford","0.00","0.00","2146.62","2097.05","18.59","4262.26","4243.67"
"Bolton","438.69","1.48","2572.80","2340.50","22.73","5376.20","5353.47"
"Boston","1323.06","3.31","256.03","2576.14","17.66","4176.20","4158.54"
"Bourne","2864.46","7.57","486.01","261.33","0.00","3619.37","3619.37"
"Boxborough","1651.63","2.24","11.12","451.67","8.99","2125.65","2116.66"
"Boxford","666.25","0.00","902.63","7.02","1.22","1577.12","1575.90"
"Boylston","823.99","0.00","1132.84","924.72","12.24","2893.79","2881.55"
"Braintree","1560.26","3.53","6.19","1156.52","11.58","2738.08","2726.50"
"Brewster","1826.69","0.97","1625.80","14.19","14.73","3482.38","3467.65"
"Bridgewater","898.16","0.00","1857.25","1625.81","0.00","4381.22","4381.22"
"Brimfield","1009.20","4.40","2092.61","1838.31","21.61","4966.13","4944.52"
"Brockton","1275.11","0.48","2313.53","2103.03","24.17","5716.32","5692.15"
"Brookfield","214.58","0.00","2547.54","2338.91","21.66","5122.69","5101.03"
"Brookline","405.96","1.32","250.06","2.70","2.80","662.84","660.04"
"Buckland","881.94","2.06","5.08","251.18","(1.22)","1139.04","1140.26"
"Burlington","157.90","1.17","1.31","466.09","0.00","626.47","626.47"
"Cambridge","304.66","0.00","920.79","0.00","0.00","1225.45","1225.45"
"Canton","654.41","0.05","1128.47","928.48","11.51","2722.92","2711.41"
"Carlisle","1574.02","0.00","0.00","1144.83","11.55","2730.40","2718.85"
"Carver","1785.65","0.37","1622.48","10.96","11.46","3430.92","3419.46"
"Charlemont","736.18","0.00","1857.19","1625.78","18.57","4237.72","4219.15"
"Charlton","1145.13","4.97","2093.24","1863.96","0.00","5107.30","5107.30"
"Chatham","1265.54","0.48","2338.57","2077.45","24.13","5706.17","5682.04"
"Chelmsford","203.98","0.90","2545.97","2338.86","15.55","5105.26","5089.71"
"Chelsea","420.62","0.00","225.91","2567.25","13.65","3227.43","3213.78"
"Cheshire","687.29","2.02","470.66","252.95","6.68","1419.60","1412.92"
"Chester","981.81","0.00","6.20","474.59","6.21","1468.81","1462.60"
"Chesterfield","295.62","0.00","924.84","5.02","0.00","1225.48","1225.48"
"Chicopee","626.69","3.01","1152.76","903.44","11.41","2697.31","2685.90"
"Chilmark","1498.33","2.74","0.00","1140.59","11.22","2652.88","2641.66"
"Clarksburg","1532.59","0.00","1603.18","13.56","14.07","3163.40","3149.33"
"Clinton","786.35","0.00","1857.68","1626.03","84.12","4354.18","4270.06"
"Cohasset","1027.80","4.56","2092.79","1929.82","15.41","5070.38","5054.97"
"Colrain","1165.21","0.50","2404.81","2097.30","0.00","5667.82","5667.82"
"Concord","198.73","69.25","2567.24","2314.17","21.87","5171.26","5149.39"
"Conway","310.38","0.00","223.34","2572.53","13.91","3120.16","3106.25"
"Cummington","822.38","0.00","452.87","253.47","6.49","1535.21","1528.72"
"Dalton","928.59","1.71","7.19","473.72","5.99","1417.20","1411.21"
"Danvers","278.39","0.00","923.36","4.94","5.12","1211.81","1206.69"
"Dartmouth","602.50","2.30","2.58","923.65","0.00","1531.03","1531.03"
"Dedham","543.07","2.74","3.07","1128.00","7.86","1684.74","1676.88"
"Deerfield","871.14","0.00","1596.50","10.14","3.72","2481.50","2477.78"
"Dennis","1006.17","0.00","1833.10","1620.38","38.93","4498.58","4459.65"
"Dighton","1225.02","0.00","2072.98","1883.53","22.00","5203.53","5181.53"
"Douglas","1339.78","0.00","2357.88","2102.88","24.63","5825.17","5800.54"
"Dover","183.85","20.90","2571.75","2339.71","0.00","5116.21","5116.21"
"Dracut","390.99","1.29","250.86","2547.98","13.55","3204.67","3191.12"
"Dudley","1348.38","3.86","453.36","254.95","8.75","2069.30","2060.55"
"Dunstable","1909.25","0.00","0.00","468.83","10.10","2388.18","2378.08"
"Duxbury","1006.41","0.00","929.28","7.95","8.25","1951.89","1943.64"
"East.Bridgewater","2089.45","0.00","656.82","753.38","(331.11)","3168.54","3499.65"
"East.Brookfield","2108.68","0.00","0.00","946.58","(11.06)","3044.20","3055.26"
"East.Longmeadow","0.00","0.00","1303.76","0.00","0.00","1303.76","1303.76"
"Eastham","2881.93","0.00","1847.86","1633.93","27.02","6390.74","6363.72"
"Easthampton","0.00","0.00","2013.93","1858.27","16.44","3888.64","3872.20"
"Easton","3208.63","0.61","2354.41","2111.32","33.40","7708.37","7674.97"
"Edgartown","905.93","2.71","2575.80","2342.66","24.75","5851.85","5827.10"
"Egremont","231.83","0.96","249.99","2571.62","0.00","3054.40","3054.40"
"Erving","720.85","2.30","474.14","227.41","6.05","1430.75","1424.70"
"Essex","2170.34","2.91","0.00","468.41","5.16","2646.82","2641.66"
"Everett","761.33","0.00","903.85","2.59","7.91","1675.68","1667.77"
"Fairhaven","2307.07","0.00","1151.88","936.17","18.66","4413.78","4395.12"
"Fall River","5184.02","7.93","32.55","1171.54","27.16","6423.20","6396.04"
"Falmouth","5426.38","11.38","1647.77","29.12","5.16","7119.81","7114.65"
"Fitchburg","836.04","0.00","6.76","1592.91","10.34","2446.05","2435.71"
"Florida","398.74","2.28","2065.21","1860.94","19.22","4346.39","4327.17"
"Foxborough","2809.50","0.00","2325.25","2108.78","130.90","7374.43","7243.53"
"Framingham","335.44","0.90","2571.46","2440.67","42.70","5391.17","5348.47"
"Franklin","577.73","1.32","353.02","2593.46","8.91","3534.44","3525.53"
"Freetown","1029.48","105.83","496.01","249.18","0.00","1880.50","1880.50"
"Gardner","1040.19","21.73","4.37","450.05","7.31","1523.65","1516.34"
"Georgetown","246.41","0.00","899.77","5.55","4.89","1156.62","1151.73"
"Gill","597.00","0.00","1131.54","928.25","11.28","2668.07","2656.79"
"Gloucester","1494.22","3.53","9.35","1156.26","11.31","2674.67","2663.36"
"Goshen","1761.80","3.21","1625.54","13.93","14.46","3418.94","3404.48"
"Gosnold","625.71","0.00","1856.74","1625.55","0.00","4108.00","4108.00"
"Grafton","1089.54","4.96","2093.24","1838.91","21.35","5048.00","5026.65"
"Granby","1209.89","0.48","2313.53","2102.16","17.83","5643.89","5626.06"
"Granville","148.80","0.00","2546.64","2333.59","21.36","5050.39","5029.03"
"Great Barrington","340.33","0.50","245.74","2572.05","13.41","3172.03","3158.62"
"Greenfield","258.32","342.02","473.34","252.82","6.54","1333.04","1326.50"
"Groton","239.88","686.11","4.85","474.58","0.00","1405.42","1405.42"
"Groveland","0.00","237.92","923.08","0.00","0.00","1161.00","1161.00"
"Hadley","402.52","2.84","1021.04","895.19","9.99","2331.58","2321.59"
