"Abington","1165.20","741.55","0.00","0.00","0.00","1906.75","1906.75","4358.28","0.00","0.00","0.00","1150.07","5508.35","4358.28","0.00","0.00","0.00","0.00","1.92","1.92","0.00","","5523.48","741.55","0.00","0.00","1151.99","7417.02","6265.03","11/27/2013","11/27/2013 ($26.67)",""
"Acton","967.80","882.08","0.00","0.00","0.00","1849.88","1849.88","4153.29","0.00","1609.67","0.00","0.00","5762.96","5762.96","0.00","0.00","0.00","0.00","9.73","9.73","0.00","","5121.09","882.08","1609.67","0.00","9.73","7622.57","7612.84","11/27/2013","11/27/2013 ($25.10)",""
"Acushnet","0.00","948.27","0.00","0.00","0.00","948.27","948.27","2259.92","0.00","1834.31","0.00","1604.74","5698.97","4094.23","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","2259.92","948.27","1834.31","0.00","1604.74","6647.24","5042.50","11/27/2013","11/27/2013 ($25.10)",""
"Adams","1200.21","0.00","0.00","0.00","0.00","1200.21","1200.21","773.80","152.49","2239.35","159.11","2020.04","5344.79","3324.75","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","1974.01","152.49","2239.35","159.11","2020.04","6545.00","4524.96","11/27/2013","11/27/2013 ($25.10)",""
"Agawam","122.91","1138.41","0.00","0.00","0.00","1261.32","1261.32","416.93","0.00","2297.30","0.00","2083.16","4797.39","2714.23","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","539.84","1138.41","2297.30","0.00","2083.16","6058.71","3975.55","11/27/2013","11/27/2013 ($27.39)",""
"Alford","474.96","127.37","0.00","0.00","0.00","602.33","602.33","1523.37","385.31","2954.95","385.31","2712.87","7961.81","5248.94","11.51","8.99","11.20","22.59","25.08","79.37","54.29","","2009.84","521.67","2966.15","407.90","2737.95","8643.51","5905.56","11/27/2013","9/28/2013 ($106.09)",""
"Amesbury","2220.69","539.80","299.41","299.41","299.41","3658.72","3359.31","7760.07","1709.89","1957.42","1709.89","4279.53","17416.80","13137.27","50.46","43.05","52.33","60.14","70.93","276.91","205.98","","10031.22","2292.74","2309.16","2069.44","4649.87","21352.43","16702.56","11/27/2013","8/28/2013 ($107.08)",""
"Amherst","3663.42","689.28","346.23","346.23","346.23","5391.39","5045.16","1133.53","0.00","469.87","0.00","247.53","1850.93","1603.40","47.89","20.57","23.59","16.18","3.59","111.82","108.23","","4844.84","709.85","839.69","362.41","597.35","7354.14","6756.79","11/27/2013","11/27/2013 ($25.10)",""
"Andover","11151.15","2107.86","1436.69","1436.69","1436.69","17569.08","16132.39","1614.49","0.00","0.00","0.00","469.87","2084.36","1614.49","137.20","54.79","54.89","42.95","76.59","366.42","289.83","","12902.84","2162.65","1491.58","1479.64","1983.15","20019.86","18036.71","11/27/2013","10/27/2013 ($25.09)",""
"Aquinnah","756.74","441.60","0.00","0.00","0.00","1198.34","1198.34","3447.36","0.00","916.51","0.00","0.00","4363.87","4363.87","47.77","10.44","0.00","23.55","23.97","105.73","81.76","","4251.87","452.04","916.51","23.55","23.97","5667.94","5643.97","11/27/2013","10/28/2013 ($110.10)",""
"Arlington","1724.36","0.00","0.00","0.00","0.00","1724.36","1724.36","3927.32","0.00","1150.07","0.00","921.15","5998.54","5077.39","51.03","0.00","24.31","28.26","29.32","132.92","103.60","","5702.71","0.00","1174.38","28.26","950.47","7855.82","6905.35","11/27/2013","9/28/2013 ($111.09)",""
"Ashburnham","1979.66","787.13","0.00","0.00","0.00","2766.79","2766.79","4415.24","0.00","0.00","0.00","1150.07","5565.31","4415.24","44.76","27.82","30.81","29.94","31.07","164.40","133.33","","6439.66","814.95","30.81","29.94","1181.14","8496.50","7315.36","11/27/2013","8/28/2013 ($112.08)",""
"Ashby","1142.59","879.50","0.00","0.00","0.00","2022.09","2022.09","4897.20","0.00","1614.49","0.00","0.00","6511.69","6511.69","34.94","25.80","29.64","35.44","36.77","162.59","125.82","","6074.73","905.30","1644.13","35.44","36.77","8696.37","8659.60","11/27/2013","7/28/2013 ($113.07)",""
"Ashfield","349.92","996.41","0.00","0.00","0.00","1346.33","1346.33","2793.89","0.00","1849.99","0.00","1614.49","6258.37","4643.88","28.70","13.47","17.76","24.86","0.70","85.49","84.79","","3172.51","1009.88","1867.75","24.86","1615.19","7690.19","6075.00","11/27/2013","11/27/2013 ($25.10)",""
"Ashland","1975.17","0.00","0.00","0.00","0.00","1975.17","1975.17","697.38","0.00","2087.68","0.00","1849.99","4635.05","2785.06","26.95","11.95","12.00","0.00","15.58","66.48","50.90","","2699.50","11.95","2099.68","0.00","1865.57","6676.70","4811.13","11/27/2013","11/27/2013 ($4.85)",""
"Athol","1018.29","1189.96","0.00","0.00","0.00","2208.25","2208.25","458.07","0.00","2314.38","0.00","2087.68","4860.13","2772.45","12.80","6.82","0.00","20.55","21.32","61.49","40.17","","1489.16","1196.78","2314.38","20.55","2109.00","7129.87","5020.87","11/27/2013","9/28/2013 ($116.09)",""
"Attleboro","424.27","112.47","0.00","0.00","0.00","536.74","536.74","921.15","0.00","2569.64","0.00","2327.56","5818.35","3490.79","18.81","0.00","6.27","6.55","17.24","48.87","31.63","","1364.23","112.47","2575.91","6.55","2344.80","6403.96","4059.16","11/27/2013","8/28/2013 ($117.08)",""
"Auburn","886.57","236.08","0.00","0.00","0.00","1122.65","1122.65","2071.22","0.00","247.53","0.00","0.00","2318.75","2318.75","27.70","0.37","4.59","14.28","14.81","61.75","46.94","","2985.49","236.45","252.12","14.28","14.81","3503.15","3488.34","11/27/2013","8/27/2013 ($12.31)",""
"Avon","2059.95","346.75","0.00","0.00","0.00","2406.70","2406.70","1150.07","0.00","0.00","0.00","247.53","1397.60","1150.07","35.27","5.70","15.28","14.85","15.41","86.51","71.10","","3245.29","352.45","15.28","14.85","262.94","3890.81","3627.87","11/27/2013","6/28/2013 ($119.06)",""
"Ayer","2054.84","0.00","0.00","0.00","0.00","2054.84","2054.84","1614.49","0.00","0.00","0.00","460.69","2075.18","1614.49","31.10","16.22","16.29","15.83","0.00","79.44","79.44","","3700.43","16.22","16.29","15.83","460.69","4209.46","3748.77","11/27/2013","11/27/2013 ($25.10)",""
"Barnstable","2791.02","1384.70","0.00","0.00","0.00","4175.72","4175.72","3463.96","0.00","921.15","0.00","0.00","4385.11","4385.11","67.04","27.36","33.36","10.62","36.94","175.32","138.38","","6322.02","1412.06","954.51","10.62","36.94","8736.15","8699.21","11/27/2013","10/27/2013 ($25.09)",""
"Barre","30.10","0.00","0.00","0.00","0.00","30.10","30.10","1865.75","0.00","1133.16","0.00","921.15","3920.06","2998.91","19.79","8.65","0.00","12.56","13.04","54.04","41.00","","1915.64","8.65","1133.16","12.56","934.19","4004.20","3070.01","11/27/2013","9/27/2013 ($25.08)",""
"Becket","801.02","361.93","0.00","0.00","0.00","1162.95","1162.95","2087.68","0.00","0.00","0.00","1150.07","3237.75","2087.68","23.69","0.00","13.90","13.51","14.02","65.12","51.10","","2912.39","361.93","13.90","13.51","1164.09","4465.82","3301.73","11/27/2013","8/27/2013 ($25.07)",""
"Bedford","1739.98","1433.05","0.00","0.00","0.00","3173.03","3173.03","4896.29","0.00","1614.49","0.00","0.00","6510.78","6510.78","34.69","28.33","34.53","40.20","41.71","179.46","137.75","","6670.96","1461.38","1649.02","40.20","41.71","9863.27","9821.56","11/27/2013","7/27/2013 ($25.06)",""
"Belchertown","0.00","48.32","0.00","0.00","0.00","48.32","48.32","2576.63","0.00","1849.99","0.00","1614.49","6041.11","4426.62","1.06","9.02","11.72","18.99","45.17","85.96","40.79","","2577.69","57.34","1861.71","18.99","1659.66","6175.39","4515.73","11/27/2013","10/28/2013 ($125.10)",""
"Bellingham","4804.20","0.00","0.00","0.00","0.00","4804.20","4804.20","703.36","0.00","2087.68","0.00","1849.99","4641.03","2791.04","49.54","24.13","24.24","48.51","7.78","154.20","146.42","","5557.10","24.13","2111.92","48.51","1857.77","9599.43","7741.66","11/27/2013","11/27/2013 ($25.10)",""
"Belmont","3390.05","3518.51","0.00","0.00","0.00","6908.56","6908.56","469.87","0.00","2327.56","0.00","2087.68","4885.11","2797.43","49.84","17.14","50.52","15.28","41.78","174.56","132.78","","3909.76","3535.65","2378.08","15.28","2129.46","11968.23","9838.77","11/27/2013","10/27/2013 ($25.09)",""
"Berkley","2067.40","435.66","0.00","0.00","0.00","2503.06","2503.06","907.42","0.00","2559.31","0.00","2327.56","5794.29","3466.73","28.85","33.67","0.00","24.79","25.72","113.03","87.31","","3003.67","469.33","2559.31","24.79","2353.28","8410.38","6057.10","11/27/2013","9/27/2013 ($25.08)",""
"Berlin","1105.72","277.09","0.00","0.00","0.00","1382.81","1382.81","2056.26","0.00","247.53","0.00","2569.64","4873.43","2303.79","54.51","0.00","14.84","15.44","16.02","100.81","84.79","","3216.49","277.09","262.37","15.44","2585.66","6357.05","3771.39","11/27/2013","8/27/2013 ($25.07)",""
"Bernardston","1636.49","283.21","0.00","0.00","0.00","1919.70","1919.70","1150.07","0.00","469.87","0.00","247.53","1867.47","1619.94","54.92","12.62","13.88","15.42","15.44","112.28","96.84","","2841.48","295.83","483.75","15.42","262.97","3899.45","3636.48","11/27/2013","10/28/2013 ($130.10)",""
"Beverly","2878.83","901.58","0.00","0.00","0.00","3780.41","3780.41","887.98","0.00","0.00","0.00","258.44","1146.42","887.98","69.73","16.85","20.75","19.63","20.36","147.32","126.96","","3836.54","918.43","20.75","19.63","278.80","5074.15","4795.35","11/27/2013","9/28/2013 ($131.09)",""
"Billerica","1554.95","830.44","0.00","0.00","0.00","2385.39","2385.39","3454.15","0.00","921.15","0.00","0.00","4375.30","4375.30","85.75","22.20","25.26","28.33","4.30","165.84","161.54","","5094.85","852.64","946.41","28.33","4.30","6926.53","6922.23","11/27/2013","11/27/2013 ($25.10)",""
"Blackstone","2164.66","0.00","0.00","0.00","0.00","2164.66","2164.66","3916.49","0.00","1150.07","0.00","921.15","5987.71","5066.56","90.83","24.13","24.22","3.10","31.31","173.59","142.28","","6171.98","24.13","1174.29","3.10","952.46","8325.96","7373.50","11/27/2013","10/27/2013 ($25.09)",""
"Blandford","52.36","45.98","0.00","0.00","0.00","98.34","98.34","4234.30","0.00","0.00","0.00","1150.07","5384.37","4234.30","45.48","18.40","0.00","11.66","18.72","94.26","75.54","","4332.14","64.38","0.00","11.66","1168.79","5576.97","4408.18","11/27/2013","10/27/2013 ($6.41)",""
"Bolton","1922.02","1442.51","0.00","0.00","0.00","3364.53","3364.53","4897.20","0.00","1614.49","0.00","0.00","6511.69","6511.69","62.40","4.73","35.94","31.47","42.51","177.05","134.54","","6881.62","1447.24","1650.43","31.47","42.51","10053.27","10010.76","11/27/2013","10/28/2013 ($135.10)",""
"Boston","1183.31","2479.64","0.00","0.00","0.00","3662.95","3662.95","2817.17","0.00","1849.99","0.00","1614.49","6281.65","4667.16","39.63","9.83","19.22","34.52","35.81","139.01","103.20","","4040.11","2489.47","1869.21","34.52","1650.30","10083.61","8433.31","11/27/2013","9/28/2013 ($136.09)",""
"Bourne","6285.26","0.00","0.00","0.00","0.00","6285.26","6285.26","717.40","0.00","2087.68","0.00","1849.99","4655.07","2805.08","51.08","22.46","30.05","37.78","39.20","180.57","141.37","","7053.74","22.46","2117.73","37.78","1889.19","11120.90","9231.71","11/27/2013","8/28/2013 ($137.08)",""
"Boxborough","1716.65","1924.02","0.00","0.00","0.00","3640.67","3640.67","451.67","0.00","2327.56","0.00","2087.68","4866.91","2779.23","27.08","9.32","17.53","26.60","2.50","83.03","80.53","","2195.40","1933.34","2345.09","26.60","2090.18","8590.61","6500.43","11/27/2013","11/27/2013 ($25.10)",""
"Boxford","1160.89","269.81","0.00","0.00","0.00","1430.70","1430.70","902.63","0.00","2569.64","0.00","2327.56","5799.83","3472.27","14.72","8.83","10.01","0.00","16.16","49.72","33.56","","2078.24","278.64","2579.65","0.00","2343.72","7280.25","4936.53","11/27/2013","11/27/2013 ($4.80)",""
"Boylston","1106.46","293.32","0.00","0.00","0.00","1399.78","1399.78","2053.99","0.00","237.91","0.00","2569.64","4861.54","2291.90","31.78","14.15","0.00","15.94","15.94","77.81","61.87","","3192.23","307.47","237.91","15.94","2585.58","6339.13","3753.55","11/27/2013","10/28/2013 ($140.10)",""
"Braintree","2102.72","332.33","0.00","0.00","0.00","2435.05","2435.05","1150.07","0.00","469.87","0.00","247.53","1867.47","1619.94","39.00","0.00","15.99","16.89","17.53","89.41","71.88","","3291.79","332.33","485.86","16.89","265.06","4391.93","4126.87","11/27/2013","9/28/2013 ($141.09)",""
"Brewster","2123.79","683.61","0.00","0.00","0.00","2807.40","2807.40","1614.49","0.00","0.00","0.00","469.87","2084.36","1614.49","45.63","16.67","19.04","18.51","19.20","119.05","99.85","","3783.91","700.28","19.04","18.51","489.07","5010.81","4521.74","11/27/2013","8/28/2013 ($142.08)",""
"Bridgewater","755.09","454.41","0.00","0.00","0.00","1209.50","1209.50","3464.48","0.00","921.15","0.00","0.00","4385.63","4385.63","30.15","18.05","20.05","23.27","24.15","115.67","91.52","","4249.72","472.46","941.20","23.27","24.15","5710.80","5686.65","11/27/2013","7/28/2013 ($143.07)",""
"Brimfield","1805.84","0.00","0.00","0.00","0.00","1805.84","1805.84","3925.99","0.00","0.00","0.00","920.90","4846.89","3925.99","56.23","24.58","24.68","13.89","0.00","119.38","119.38","","5788.06","24.58","24.68","13.89","920.90","6772.11","5851.21","11/27/2013","11/27/2013 ($25.10)",""
