"Abington","1225.53","02/27/2013","31","02/27/2013","25.01","773.000","617-712 1712"
"Acton","244.38","02/27/2013","31","02/27/2013","25.01","773.000","617-735 1735"
"Acushnet","456.88","02/27/2013","31","02/27/2013","25.01","773.000","617-860 1860"
"Adams","884.47","02/27/2013","31","02/27/2013","25.01","773.000","617-778 1778"
"Agawam","975.79","02/27/2013","31","02/27/2013","25.01","773.000","617-855 1855"
"Alford","458.90","02/27/2013","0","","0.00","0.000","617-773 1773"
"Amesbury","600.09","02/27/2013","31","","0.00","773.000","617-668 1668"
"Amherst","1472.27","02/27/2013","31","","0.00","773.000","617-775 1775"
"Andover","3632.10","02/27/2013","31","01/28/2013","109.01","773.000","617-646 1646"
"Aquinnah","976.89","02/27/2013","0","","0.00","0.000","617-870 1870"
"Arlington","1189.38","01/27/2013","0","02/27/2013","5.05","0.000","617-807 1807"
"Ashburnham","1332.89","02/27/2013","31","","0.00","773.000","617-765 1765"
"Ashby","366.93","02/27/2013","31","","0.00","773.000","617-767 1767"
"Ashfield","464.97","02/27/2013","31","01/28/2013","114.01","773.000","617-765 1765"
"Ashland","994.95","02/27/2013","31","","0.00","773.000","617-846 1846"
"Athol","1126.19","02/27/2013","31","","0.00","773.000","617-762 1762"
"Attleboro","424.62","02/27/2013","0","02/27/2013","25.01","0.000","617-694 1694"
"Auburn","775.90","02/27/2013","31","","0.00","773.000","617-778 1778"
"Avon","1530.50","02/27/2013","31","01/28/2013","119.01","773.000","617-888 1888"
"Ayer","1843.95","02/27/2013","31","","0.00","773.000","617-871 1871"
"Barnstable","3033.15","02/27/2013","0","","0.00","0.000","617-638 1638"
"Barre","47.02","02/27/2013","31","","0.00","773.000","617-774 1774"
"Becket","620.45","02/27/2013","31","02/27/2013","25.01","773.000","617-765 1765"
"Bedford","261.58","02/27/2013","31","01/28/2013","124.01","773.000","617-729 1729"
"Belchertown","11.55","02/27/2013","0","","0.00","0.000","617-761 1761"
"Bellingham","2313.17","02/27/2013","31","","0.00","773.000","617-719 1719"
"Belmont","3272.78","02/27/2013","31","","0.00","773.000","617-859 1859"
