"Abington","5927.82","06/27/2013","-200","06/28/2013","101.06","423.000","617-712 1712"
"Acton","5529.43","06/27/2013","-331","06/28/2013","102.06","292.000","617-735 1735"
"Acushnet","2679.33","05/27/2013","-475","06/28/2013","103.06","179.000","617-860 1860"
"Adams","2237.36","06/27/2013","-52","06/28/2013","104.06","571.000","617-778 1778"
"Agawam","967.25","06/27/2013","-319","06/28/2013","105.06","304.000","617-855 1855"
"Alford","1748.49","06/27/2013","71","04/28/2013","106.04","694.000","617-773 1773"
"Amesbury","8095.73","06/27/2013","91","06/27/2013","25.05","714.000","617-668 1668"
"Amherst","4587.83","06/27/2013","91","05/27/2013","25.04","714.000","617-775 1775"
"Andover","11419.22","06/27/2013","91","06/28/2013","109.06","714.000","617-646 1646"
"Aquinnah","4344.12","06/27/2013","71","05/28/2013","110.05","694.000","617-870 1870"
"Arlington","5797.05","06/27/2013","-201","04/28/2013","111.04","422.000","617-807 1807"
"Ashburnham","6549.88","06/27/2013","91","03/28/2013","112.03","714.000","617-765 1765"
"Ashby","6162.47","06/27/2013","91","06/27/2013","25.05","714.000","617-767 1767"
"Ashfield","3159.53","06/27/2013","91","06/28/2013","114.06","714.000","617-765 1765"
"Ashland","2803.08","06/27/2013","-52","05/28/2013","115.05","571.000","617-846 1846"
"Athol","1598.68","06/27/2013","-189","05/27/2013","15.94","434.000","617-762 1762"
"Attleboro","1475.25","06/27/2013","71","03/28/2013","117.03","694.000","617-694 1694"
"Auburn","3103.56","06/27/2013","91","02/28/2013","118.02","714.000","617-778 1778"
"Avon","3232.01","06/27/2013","91","06/28/2013","119.06","714.000","617-888 1888"
"Ayer","3811.93","06/27/2013","-40","06/27/2013","10.77","583.000","617-871 1871"
"Barnstable","6416.74","06/27/2013","71","04/28/2013","121.04","694.000","617-638 1638"
"Barre","1999.40","06/27/2013","-338","04/27/2013","24.84","285.000","617-774 1774"
"Becket","2598.12","06/27/2013","-265","02/28/2013","123.02","358.000","617-765 1765"
"Bedford","5067.39","06/27/2013","-52","06/28/2013","124.06","571.000","617-729 1729"
"Belchertown","2702.79","05/27/2013","-396","06/27/2013","11.48","258.000","617-761 1761"
"Bellingham","2921.56","06/27/2013","91","05/27/2013","25.04","714.000","617-719 1719"
"Belmont","3644.88","06/27/2013","-46","05/27/2013","4.16","577.000","617-859 1859"
"Berkley","2323.49","06/27/2013","71","04/27/2013","25.02","694.000","617-735 1735"
"Berlin","2762.59","06/27/2013","-201","06/28/2013","129.06","422.000","617-812 1812"
"Bernardston","2437.90","06/27/2013","91","05/28/2013","130.05","714.000","617-762 1762"
"Beverly","3353.91","05/27/2013","-71","06/27/2013","14.24","583.000","617-668 1668"
"Billerica","5205.54","06/27/2013","71","05/27/2013","25.04","694.000","617-655 1655"
"Blackstone","5333.25","06/27/2013","91","04/27/2013","25.03","714.000","617-845 1845"
"Blandford","4262.26","06/27/2013","-288","06/28/2013","134.06","335.000","617-741 1741"
"Bolton","5376.20","06/27/2013","91","05/28/2013","135.05","714.000","617-738 1738"
"Boston","4176.20","06/27/2013","91","04/28/2013","136.04","714.000","617-630 1630"
"Bourne","3619.37","05/27/2013","-71","06/27/2013","15.37","583.000","617-884 1884"
"Boxborough","2125.65","06/27/2013","91","05/27/2013","25.04","714.000","617-835 1835"
"Boxford","1577.12","06/27/2013","71","06/28/2013","139.06","694.000","617-685 1685"
"Boylston","2893.79","06/27/2013","-52","05/28/2013","140.05","571.000","617-785 1785"
"Braintree","2738.08","06/27/2013","91","04/28/2013","141.04","714.000","617-640 1640"
"Brewster","3482.38","06/27/2013","91","03/28/2013","142.03","714.000","617-803 1803"
"Bridgewater","4381.22","05/27/2013","-178","06/27/2013","18.61","476.000","617-656 1656"
"Brimfield","4966.13","06/27/2013","91","06/28/2013","144.06","714.000","617-731 1731"
"Brockton","5716.32","06/27/2013","-40","05/28/2013","145.05","583.000","617-821 1821"
"Brookfield","5122.69","06/27/2013","-52","04/28/2013","146.04","571.000","617-718 1718"
"Brookline","662.84","06/27/2013","91","03/28/2013","147.03","714.000","617-705 1705"
"Buckland","1139.04","05/27/2013","-71","02/28/2013","148.02","583.000","617-779 1779"
"Burlington","626.47","05/27/2013","-71","06/28/2013","149.06","583.000","617-799 1799"
