"Abington","01/27/2013","10149","INV","12345","AR-Fees","AR-Fees","127.31","0.00","Charges-Fees","Charges-Fees","0.00","122.41","TaxRec-Fees","TaxRec-Fees","0.00","4.90"
"Acton","01/27/2013","10087","INV","12346","AR-Fees","AR-Fees","240.28","0.00","Charges-Fees","Charges-Fees","0.00","231.04","TaxRec-Fees","TaxRec-Fees","0.00","9.24"
"Acushnet","01/27/2013","10173","INV","12347","AR-Fees","AR-Fees","342.89","0.00","Charges-Fees","Charges-Fees","0.00","329.70","TaxRec-Fees","TaxRec-Fees","0.00","13.19"
"Adams","01/27/2013","10027","INV","12348","AR-Fees","AR-Fees","670.85","0.00","Charges-Fees","Charges-Fees","0.00","645.05","TaxRec-Fees","TaxRec-Fees","0.00","25.80"
"Agawam","01/27/2013","10001","INV","12349","AR-Fees","AR-Fees","441.39","0.00","Charges-Fees","Charges-Fees","0.00","424.41","TaxRec-Fees","TaxRec-Fees","0.00","16.98"
"Amesbury","01/27/2013","10113","INV","12351","AR-Fees","AR-Fees","299.41","0.00","Charges-Fees","Charges-Fees","0.00","377.32","WD-Fees","WD-Fees","89.43","0.00","TaxRec-Fees","TaxRec-Fees","0.00","11.52"
"Amherst","01/27/2013","10003","INV","12352","AR-Fees","AR-Fees","346.23","0.00","Charges-Fees","Charges-Fees","0.00","421.59","WD-Fees","WD-Fees","88.68","0.00","TaxRec-Fees","TaxRec-Fees","0.00","13.32"
"Andover","01/27/2013","10103","INV","12353","AR-Fees","AR-Fees","1436.69","0.00","Charges-Fees","Charges-Fees","0.00","1448.27","WD-Fees","WD-Fees","66.84","0.00","TaxRec-Fees","TaxRec-Fees","0.00","55.26"
"Arlington","01/27/2013","10154","INV","12355","AR-Fees","AR-Fees","1189.38","0.00","Charges-Fees","Charges-Fees","0.00","1143.63","TaxRec-Fees","TaxRec-Fees","0.00","45.75"
"Ashburnham","01/27/2013","10061","INV","12356","AR-Fees","AR-Fees","131.19","0.00","Charges-Fees","Charges-Fees","0.00","126.14","TaxRec-Fees","TaxRec-Fees","0.00","5.05"
