"Bid","71208.64","0.000000","0.00","71208.64"
"Build Structure","19825.33","0.000000","0.00","19825.33"
"Clean","86245.82","0.031527","2719.10","88964.92"
"Cleanup Supplies","85006.92","0.074154","6303.58","91310.50"
"Consultants","272172.80","0.050001","13608.96","285781.76"
"DemoS","36861.44","0.000000","0.00","36861.44"
"DesignL","117128.05","-0.032373","(3791.80)","113336.25"
"DesignS","103914.24","0.000000","0.00","103914.24"
"First aid","169079.86","0.074153","12537.72","181617.58"
"Fix","52653.71","0.000000","0.00","52653.71"
"Hand Tools","28944.64","0.050015","1447.68","30392.32"
"Landscape Supplies","214638.89","0.049998","10731.50","225370.39"
"Lot Maintenance","169483.62","0.028949","4906.40","174390.02"
"Pave","173096.44","0.000000","0.00","173096.44"
"Pavers","111922.16","0.020992","2349.48","114271.64"
"Planting","147648.91","-0.028694","(4236.70)","143412.21"
"Plants","188789.76","0.050003","9440.00","198229.76"
"Power Tools","57519.50","0.021198","1219.30","58738.80"
"Safety","300480.00","0.050002","15024.64","315504.64"
"Snacks","242215.67","0.050000","12110.72","254326.39"
"Water Feature","173216.20","0.030502","5283.40","178499.60"
"Wood","139736.45","0.074332","10386.88","150123.33"
