"Transaction ID","Transaction Type (Short)","Timekeeper Nickname 1","Time Spent (optional rounding)","Rate Value","Rate Type","Transaction Date","Activity Nickname 1","Quantity","Price","Slip Value","Billing Status","Client Nickname 1","Description","Reference Nickname 1",
"2809","TIME","TomH","1:12:00","101.01","Hourly","01/01/2013","Build Structure","0.000","0.00","121.21","Billable","BA-AdjTot-Time","Create something new",""
"2810","TIME","CoreyM","4:12:00","102.01","Hourly","01/01/2013","Bid","0.000","0.00","428.44","Override","BA-AdjTot-Time","Promise you can do something great",""
"2811","TIME","SamS","5:12:00","103.01","Hourly","01/01/2013","Clean","0.000","0.00","535.65","Do Not Bill","BA-AdjTot-Time","Take away wreckage and trash and then sweep up",""
"2812","TIME","ShawnR","10:12:00","104.01","Hourly","01/01/2013","Water Feature","0.000","0.00","1060.90","No Charge","BA-AdjTot-Time","Make something splash and flow",""
"2813","EXP","ShawnR","0:00:00","0.00","","01/01/2013","Pavers","4.125","204.004","841.52","Billable","BA-AdjTot-Time","Stuff used to make a patio or walkway",""
"2814","EXP","SamS","0:00:00","0.00","","01/01/2013","Wood","5.125","205.005","1050.65","Override","BA-AdjTot-Time","Stuff used to build structures and other things",""
"2815","EXP","CoreyM","0:00:00","0.00","","01/01/2013","First aid","6.125","206.006","1261.79","Do Not Bill","BA-AdjTot-Time","Stuff used to glue fingers back on or tape wounds shut",""
"2816","EXP","TomH","0:00:00","0.00","","01/01/2013","Cleanup Supplies","3.125","203.003","634.38","No Charge","BA-AdjTot-Time","Trash Bags, trash bags, and more trash bags",""
"2817","TIME","TomH","1:12:00","101.01","Hourly","01/01/2013","Build Structure","0.000","0.00","121.21","Billable","BA-AdjTot-Exp","Create something new",""
"2818","TIME","CoreyM","4:12:00","102.01","Hourly","01/01/2013","Bid","0.000","0.00","428.44","Override","BA-AdjTot-Exp","Promise you can do something great",""
"2819","TIME","SamS","5:12:00","103.01","Hourly","01/01/2013","Clean","0.000","0.00","535.65","Do Not Bill","BA-AdjTot-Exp","Take away wreckage and trash and then sweep up",""
"2820","TIME","ShawnR","10:12:00","104.01","Hourly","01/01/2013","Water Feature","0.000","0.00","1060.90","No Charge","BA-AdjTot-Exp","Make something splash and flow",""
"2821","EXP","ShawnR","0:00:00","0.00","","01/01/2013","Pavers","4.125","204.004","841.52","Billable","BA-AdjTot-Exp","Stuff used to make a patio or walkway",""
"2822","EXP","SamS","0:00:00","0.00","","01/01/2013","Wood","5.125","205.005","1050.65","Override","BA-AdjTot-Exp","Stuff used to build structures and other things",""
"2823","EXP","CoreyM","0:00:00","0.00","","01/01/2013","First aid","6.125","206.006","1261.79","Do Not Bill","BA-AdjTot-Exp","Stuff used to glue fingers back on or tape wounds shut",""
"2824","EXP","TomH","0:00:00","0.00","","01/01/2013","Cleanup Supplies","3.125","203.003","634.38","No Charge","BA-AdjTot-Exp","Trash Bags, trash bags, and more trash bags",""
"2825","TIME","TomH","1:12:00","101.01","Hourly","01/01/2013","Build Structure","0.000","0.00","121.21","Billable","BA-AdjTot-Both","Create something new",""
"2826","TIME","CoreyM","4:12:00","102.01","Hourly","01/01/2013","Bid","0.000","0.00","428.44","Override","BA-AdjTot-Both","Promise you can do something great",""
"2827","TIME","SamS","5:12:00","103.01","Hourly","01/01/2013","Clean","0.000","0.00","535.65","Do Not Bill","BA-AdjTot-Both","Take away wreckage and trash and then sweep up",""
"2828","TIME","ShawnR","10:12:00","104.01","Hourly","01/01/2013","Water Feature","0.000","0.00","1060.90","No Charge","BA-AdjTot-Both","Make something splash and flow",""
"2829","EXP","ShawnR","0:00:00","0.00","","01/01/2013","Pavers","4.125","204.004","841.52","Billable","BA-AdjTot-Both","Stuff used to make a patio or walkway",""
"2830","EXP","SamS","0:00:00","0.00","","01/01/2013","Wood","5.125","205.005","1050.65","Override","BA-AdjTot-Both","Stuff used to build structures and other things",""
"2831","EXP","CoreyM","0:00:00","0.00","","01/01/2013","First aid","6.125","206.006","1261.79","Do Not Bill","BA-AdjTot-Both","Stuff used to glue fingers back on or tape wounds shut",""
