"Transaction ID","Billing Status","Overhead Cost","Recurring","Transaction Date","Adjustment","Classification","Price","Slip Source","Transaction Type","Approval Status","Do Not Bill Time","Profitability of Overhead Cost","Slip Value","Transaction Type (Short)","Billable Overhead Cost","Effective Rate: Slip Value / Time Spent","Profitability: Billed SV - Slip Value","Slip Value for Client Rate Source","Unbillable Overhead Cost","Billable Slip Value","End Date","Quantity","Slip Value for Task Rate Source","Unbillable Slip Value","Billable Time Spent","End Date (if needed)","Rate Level","Slip Value for Timekeeper Rate Source","Unbillable Time Spent","Billed","Exported","Rate Source","Slip Value with Markup","Variance","Billed on Invoice Date","Extra","Rate Source and Level shorthand","Start Time (if available)","Billed on Invoice No.","Hold","Rate Type","Stop Time (if available)","Billed Rate: Billed SV / Time Spent","Markup Percent","Rate Value","Time Estimated","Billed Slip Value","Markup Value","Record Count","Time Spent (optional rounding)",
"2809","Billable","60.01","0","01/01/2013","0.00","Open","0.00","Timeslips","Time","Pending","0:00:00","91.50","121.21","TIME","60.01","101.01","30.30","0.00","0.00","121.21","01/01/2013","0.000","121.21","0.00","1:12:00","","1","121.21","0:00:00","1","0","Timekeeper","121.21","0:06:00","12/27/2013","Slip: t1","T@1","","G:12345","0","Hourly","","126.26","0.000000","101.01","1:06:00","151.51","0.00","1","1:12:00"
"2810","Override","210.08","0","01/01/2013","0.00","Open","0.00","Timeslips","Time","Pending","0:00:00","218.36","428.44","TIME","210.08","102.01","0.00","0.00","0.00","428.44","01/01/2013","0.000","436.84","0.00","4:12:00","","1","428.44","0:00:00","1","0","Timekeeper","428.44","0:06:00","12/27/2013","Slip: t2","T@1","","G:12345","0","Hourly","","102.01","0.000000","102.01","4:06:00","428.44","0.00","1","4:12:00"
"2811","Do Not Bill","260.16","0","01/01/2013","0.00","Open","0.00","Timeslips","Time","Pending","0:00:00","(260.16)","535.65","TIME","0.00","103.01","(535.65)","0.00","260.16","0.00","01/01/2013","0.000","546.05","535.65","0:00:00","","1","535.65","5:12:00","1","0","Timekeeper","535.65","0:06:00","12/27/2013","Slip: t3","T@1","","G:12345","0","Hourly","","0.00","0.000000","103.01","5:06:00","0.00","0.00","1","5:12:00"
"2812","No Charge","510.41","0","01/01/2013","0.00","Open","0.00","Timeslips","Time","Pending","0:00:00","(510.41)","1060.90","TIME","0.00","104.01","(1060.90)","0.00","510.41","0.00","01/01/2013","0.000","1122.10","1060.90","0:00:00","","1","1060.90","10:12:00","1","0","Timekeeper","1060.90","0:06:00","12/27/2013","Slip: t4","T@1","","G:12345","0","Hourly","","0.00","0.000000","104.01","10:06:00","0.00","0.00","1","10:12:00"
"2813","Billable","0.00","0","01/01/2013","0.00","Open","204.004","Timeslips","Expense","Pending","0:00:00","883.60","841.52","EXP","0.00","0.00","42.08","841.52","0.00","841.52","01/01/2013","4.125","841.52","0.00","0:00:00","","1","841.52","0:00:00","1","0","Timekeeper","883.60","0:00:00","12/27/2013","Slip: e5","T@1","","G:12345","0","Hourly","","0.00","0.050000","0.00","0:00:00","883.60","42.08","1","0:00:00"
"2814","Override","0.00","0","01/01/2013","0.00","Open","205.005","Timeslips","Expense","Pending","0:00:00","1103.18","1050.65","EXP","0.00","0.00","52.53","1050.65","0.00","1050.65","01/01/2013","5.125","1050.65","0.00","0:00:00","","1","1050.65","0:00:00","1","0","Timekeeper","1103.18","0:00:00","12/27/2013","Slip: e6","T@1","","G:12345","0","Hourly","","0.00","0.050000","0.00","0:00:00","1103.18","52.53","1","0:00:00"
"2815","Do Not Bill","0.00","0","01/01/2013","0.00","Open","206.006","Timeslips","Expense","Pending","0:00:00","0.00","1261.79","EXP","0.00","0.00","(1261.79)","1261.79","0.00","0.00","01/01/2013","6.125","1261.79","1261.79","0:00:00","","1","1261.79","0:00:00","1","0","Timekeeper","1324.88","0:00:00","12/27/2013","Slip: e7","T@1","","G:12345","0","Hourly","","0.00","0.050000","0.00","0:00:00","0.00","63.09","1","0:00:00"
"2816","No Charge","0.00","0","01/01/2013","0.00","Open","203.003","Timeslips","Expense","Pending","0:00:00","0.00","634.38","EXP","0.00","0.00","(634.38)","634.38","0.00","0.00","01/01/2013","3.125","634.38","634.38","0:00:00","","1","634.38","0:00:00","1","0","Timekeeper","666.10","0:00:00","12/27/2013","Slip: e8","T@1","","G:12345","0","Hourly","","0.00","0.050000","0.00","0:00:00","0.00","31.72","1","0:00:00"
"2817","Billable","60.01","0","01/01/2013","0.00","Open","0.00","Timeslips","Time","Pending","0:00:00","61.20","121.21","TIME","60.01","101.01","0.00","0.00","0.00","121.21","01/01/2013","0.000","121.21","0.00","1:12:00","","1","121.21","0:00:00","1","0","Timekeeper","121.21","0:06:00","12/27/2013","Slip: t1","T@1","","G:12346","0","Hourly","","101.01","0.000000","101.01","1:06:00","121.21","0.00","1","1:12:00"
"2818","Override","210.08","0","01/01/2013","0.00","Open","0.00","Timeslips","Time","Pending","0:00:00","218.36","428.44","TIME","210.08","102.01","0.00","0.00","0.00","428.44","01/01/2013","0.000","436.84","0.00","4:12:00","","1","428.44","0:00:00","1","0","Timekeeper","428.44","0:06:00","12/27/2013","Slip: t2","T@1","","G:12346","0","Hourly","","102.01","0.000000","102.01","4:06:00","428.44","0.00","1","4:12:00"
"2819","Do Not Bill","260.16","0","01/01/2013","0.00","Open","0.00","Timeslips","Time","Pending","0:00:00","(260.16)","535.65","TIME","0.00","103.01","(535.65)","0.00","260.16","0.00","01/01/2013","0.000","546.05","535.65","0:00:00","","1","535.65","5:12:00","1","0","Timekeeper","535.65","0:06:00","12/27/2013","Slip: t3","T@1","","G:12346","0","Hourly","","0.00","0.000000","103.01","5:06:00","0.00","0.00","1","5:12:00"
"2820","No Charge","510.41","0","01/01/2013","0.00","Open","0.00","Timeslips","Time","Pending","0:00:00","(510.41)","1060.90","TIME","0.00","104.01","(1060.90)","0.00","510.41","0.00","01/01/2013","0.000","1122.10","1060.90","0:00:00","","1","1060.90","10:12:00","1","0","Timekeeper","1060.90","0:06:00","12/27/2013","Slip: t4","T@1","","G:12346","0","Hourly","","0.00","0.000000","104.01","10:06:00","0.00","0.00","1","10:12:00"
"2821","Billable","0.00","0","01/01/2013","0.00","Open","204.004","Timeslips","Expense","Pending","0:00:00","1104.50","841.52","EXP","0.00","0.00","262.98","841.52","0.00","841.52","01/01/2013","4.125","841.52","0.00","0:00:00","","1","841.52","0:00:00","1","0","Timekeeper","883.60","0:00:00","12/27/2013","Slip: e5","T@1","","G:12346","0","Hourly","","0.00","0.050000","0.00","0:00:00","1104.50","42.08","1","0:00:00"
"2822","Override","0.00","0","01/01/2013","0.00","Open","205.005","Timeslips","Expense","Pending","0:00:00","1103.18","1050.65","EXP","0.00","0.00","52.53","1050.65","0.00","1050.65","01/01/2013","5.125","1050.65","0.00","0:00:00","","1","1050.65","0:00:00","1","0","Timekeeper","1103.18","0:00:00","12/27/2013","Slip: e6","T@1","","G:12346","0","Hourly","","0.00","0.050000","0.00","0:00:00","1103.18","52.53","1","0:00:00"
"2823","Do Not Bill","0.00","0","01/01/2013","0.00","Open","206.006","Timeslips","Expense","Pending","0:00:00","0.00","1261.79","EXP","0.00","0.00","(1261.79)","1261.79","0.00","0.00","01/01/2013","6.125","1261.79","1261.79","0:00:00","","1","1261.79","0:00:00","1","0","Timekeeper","1324.88","0:00:00","12/27/2013","Slip: e7","T@1","","G:12346","0","Hourly","","0.00","0.050000","0.00","0:00:00","0.00","63.09","1","0:00:00"
"2824","No Charge","0.00","0","01/01/2013","0.00","Open","203.003","Timeslips","Expense","Pending","0:00:00","0.00","634.38","EXP","0.00","0.00","(634.38)","634.38","0.00","0.00","01/01/2013","3.125","634.38","634.38","0:00:00","","1","634.38","0:00:00","1","0","Timekeeper","666.10","0:00:00","12/27/2013","Slip: e8","T@1","","G:12346","0","Hourly","","0.00","0.050000","0.00","0:00:00","0.00","31.72","1","0:00:00"
"2825","Billable","60.01","0","01/01/2013","0.00","Open","0.00","Timeslips","Time","Pending","0:00:00","91.50","121.21","TIME","60.01","101.01","30.30","0.00","0.00","121.21","01/01/2013","0.000","121.21","0.00","1:12:00","","1","121.21","0:00:00","1","0","Timekeeper","121.21","0:06:00","12/27/2013","Slip: t1","T@1","","G:12347","0","Hourly","","126.26","0.000000","101.01","1:06:00","151.51","0.00","1","1:12:00"
"2826","Override","210.08","0","01/01/2013","0.00","Open","0.00","Timeslips","Time","Pending","0:00:00","218.36","428.44","TIME","210.08","102.01","0.00","0.00","0.00","428.44","01/01/2013","0.000","436.84","0.00","4:12:00","","1","428.44","0:00:00","1","0","Timekeeper","428.44","0:06:00","12/27/2013","Slip: t2","T@1","","G:12347","0","Hourly","","102.01","0.000000","102.01","4:06:00","428.44","0.00","1","4:12:00"
"2827","Do Not Bill","260.16","0","01/01/2013","0.00","Open","0.00","Timeslips","Time","Pending","0:00:00","(260.16)","535.65","TIME","0.00","103.01","(535.65)","0.00","260.16","0.00","01/01/2013","0.000","546.05","535.65","0:00:00","","1","535.65","5:12:00","1","0","Timekeeper","535.65","0:06:00","12/27/2013","Slip: t3","T@1","","G:12347","0","Hourly","","0.00","0.000000","103.01","5:06:00","0.00","0.00","1","5:12:00"
"2828","No Charge","510.41","0","01/01/2013","0.00","Open","0.00","Timeslips","Time","Pending","0:00:00","(510.41)","1060.90","TIME","0.00","104.01","(1060.90)","0.00","510.41","0.00","01/01/2013","0.000","1122.10","1060.90","0:00:00","","1","1060.90","10:12:00","1","0","Timekeeper","1060.90","0:06:00","12/27/2013","Slip: t4","T@1","","G:12347","0","Hourly","","0.00","0.000000","104.01","10:06:00","0.00","0.00","1","10:12:00"
"2829","Billable","0.00","0","01/01/2013","0.00","Open","204.004","Timeslips","Expense","Pending","0:00:00","1104.50","841.52","EXP","0.00","0.00","262.98","841.52","0.00","841.52","01/01/2013","4.125","841.52","0.00","0:00:00","","1","841.52","0:00:00","1","0","Timekeeper","883.60","0:00:00","12/27/2013","Slip: e5","T@1","","G:12347","0","Hourly","","0.00","0.050000","0.00","0:00:00","1104.50","42.08","1","0:00:00"
"2830","Override","0.00","0","01/01/2013","0.00","Open","205.005","Timeslips","Expense","Pending","0:00:00","1103.18","1050.65","EXP","0.00","0.00","52.53","1050.65","0.00","1050.65","01/01/2013","5.125","1050.65","0.00","0:00:00","","1","1050.65","0:00:00","1","0","Timekeeper","1103.18","0:00:00","12/27/2013","Slip: e6","T@1","","G:12347","0","Hourly","","0.00","0.050000","0.00","0:00:00","1103.18","52.53","1","0:00:00"
"2831","Do Not Bill","0.00","0","01/01/2013","0.00","Open","206.006","Timeslips","Expense","Pending","0:00:00","0.00","1261.79","EXP","0.00","0.00","(1261.79)","1261.79","0.00","0.00","01/01/2013","6.125","1261.79","1261.79","0:00:00","","1","1261.79","0:00:00","1","0","Timekeeper","1324.88","0:00:00","12/27/2013","Slip: e7","T@1","","G:12347","0","Hourly","","0.00","0.050000","0.00","0:00:00","0.00","63.09","1","0:00:00"
"2832","No Charge","0.00","0","01/01/2013","0.00","Open","203.003","Timeslips","Expense","Pending","0:00:00","0.00","634.38","EXP","0.00","0.00","(634.38)","634.38","0.00","0.00","01/01/2013","3.125","634.38","634.38","0:00:00","","1","634.38","0:00:00","1","0","Timekeeper","666.10","0:00:00","12/27/2013","Slip: e8","T@1","","G:12347","0","Hourly","","0.00","0.050000","0.00","0:00:00","0.00","31.72","1","0:00:00"
"2833","Billable","60.01","0","01/01/2013","0.00","Open","0.00","Timeslips","Time","Pending","0:00:00","91.50","121.21","TIME","60.01","101.01","30.30","0.00","0.00","121.21","01/01/2013","0.000","121.21","0.00","1:12:00","","1","121.21","0:00:00","1","0","Timekeeper","121.21","0:06:00","12/27/2013","Slip: t1","T@1","","G:12348","0","Hourly","","126.26","0.000000","101.01","1:06:00","151.51","0.00","1","1:12:00"
"2834","Override","210.08","0","01/01/2013","0.00","Open","0.00","Timeslips","Time","Pending","0:00:00","218.36","428.44","TIME","210.08","102.01","0.00","0.00","0.00","428.44","01/01/2013","0.000","436.84","0.00","4:12:00","","1","428.44","0:00:00","1","0","Timekeeper","428.44","0:06:00","12/27/2013","Slip: t2","T@1","","G:12348","0","Hourly","","102.01","0.000000","102.01","4:06:00","428.44","0.00","1","4:12:00"
"2835","Do Not Bill","260.16","0","01/01/2013","0.00","Open","0.00","Timeslips","Time","Pending","0:00:00","(260.16)","535.65","TIME","0.00","103.01","(535.65)","0.00","260.16","0.00","01/01/2013","0.000","546.05","535.65","0:00:00","","1","535.65","5:12:00","1","0","Timekeeper","535.65","0:06:00","12/27/2013","Slip: t3","T@1","","G:12348","0","Hourly","","0.00","0.000000","103.01","5:06:00","0.00","0.00","1","5:12:00"
"2836","No Charge","510.41","0","01/01/2013","0.00","Open","0.00","Timeslips","Time","Pending","0:00:00","(510.41)","1060.90","TIME","0.00","104.01","(1060.90)","0.00","510.41","0.00","01/01/2013","0.000","1122.10","1060.90","0:00:00","","1","1060.90","10:12:00","1","0","Timekeeper","1060.90","0:06:00","12/27/2013","Slip: t4","T@1","","G:12348","0","Hourly","","0.00","0.000000","104.01","10:06:00","0.00","0.00","1","10:12:00"
"2837","Billable","0.00","0","01/01/2013","0.00","Open","204.004","Timeslips","Expense","Pending","0:00:00","883.60","841.52","EXP","0.00","0.00","42.08","841.52","0.00","841.52","01/01/2013","4.125","841.52","0.00","0:00:00","","1","841.52","0:00:00","1","0","Timekeeper","883.60","0:00:00","12/27/2013","Slip: e5","T@1","","G:12348","0","Hourly","","0.00","0.050000","0.00","0:00:00","883.60","42.08","1","0:00:00"
"2838","Override","0.00","0","01/01/2013","0.00","Open","205.005","Timeslips","Expense","Pending","0:00:00","1103.18","1050.65","EXP","0.00","0.00","52.53","1050.65","0.00","1050.65","01/01/2013","5.125","1050.65","0.00","0:00:00","","1","1050.65","0:00:00","1","0","Timekeeper","1103.18","0:00:00","12/27/2013","Slip: e6","T@1","","G:12348","0","Hourly","","0.00","0.050000","0.00","0:00:00","1103.18","52.53","1","0:00:00"
"2839","Do Not Bill","0.00","0","01/01/2013","0.00","Open","206.006","Timeslips","Expense","Pending","0:00:00","0.00","1261.79","EXP","0.00","0.00","(1261.79)","1261.79","0.00","0.00","01/01/2013","6.125","1261.79","1261.79","0:00:00","","1","1261.79","0:00:00","1","0","Timekeeper","1324.88","0:00:00","12/27/2013","Slip: e7","T@1","","G:12348","0","Hourly","","0.00","0.050000","0.00","0:00:00","0.00","63.09","1","0:00:00"
"2840","No Charge","0.00","0","01/01/2013","0.00","Open","203.003","Timeslips","Expense","Pending","0:00:00","0.00","634.38","EXP","0.00","0.00","(634.38)","634.38","0.00","0.00","01/01/2013","3.125","634.38","634.38","0:00:00","","1","634.38","0:00:00","1","0","Timekeeper","666.10","0:00:00","12/27/2013","Slip: e8","T@1","","G:12348","0","Hourly","","0.00","0.050000","0.00","0:00:00","0.00","31.72","1","0:00:00"
"2841","Billable","60.01","0","01/01/2013","0.00","Open","0.00","Timeslips","Time","Pending","0:00:00","61.20","121.21","TIME","60.01","101.01","0.00","0.00","0.00","121.21","01/01/2013","0.000","121.21","0.00","1:12:00","","1","121.21","0:00:00","1","0","Timekeeper","121.21","0:06:00","12/27/2013","Slip: t1","T@1","","G:12349","0","Hourly","","101.01","0.000000","101.01","1:06:00","121.21","0.00","1","1:12:00"
"2842","Override","210.08","0","01/01/2013","0.00","Open","0.00","Timeslips","Time","Pending","0:00:00","218.36","428.44","TIME","210.08","102.01","0.00","0.00","0.00","428.44","01/01/2013","0.000","436.84","0.00","4:12:00","","1","428.44","0:00:00","1","0","Timekeeper","428.44","0:06:00","12/27/2013","Slip: t2","T@1","","G:12349","0","Hourly","","102.01","0.000000","102.01","4:06:00","428.44","0.00","1","4:12:00"
"2843","Do Not Bill","260.16","0","01/01/2013","0.00","Open","0.00","Timeslips","Time","Pending","0:00:00","(260.16)","535.65","TIME","0.00","103.01","(535.65)","0.00","260.16","0.00","01/01/2013","0.000","546.05","535.65","0:00:00","","1","535.65","5:12:00","1","0","Timekeeper","535.65","0:06:00","12/27/2013","Slip: t3","T@1","","G:12349","0","Hourly","","0.00","0.000000","103.01","5:06:00","0.00","0.00","1","5:12:00"
"2844","No Charge","510.41","0","01/01/2013","0.00","Open","0.00","Timeslips","Time","Pending","0:00:00","(510.41)","1060.90","TIME","0.00","104.01","(1060.90)","0.00","510.41","0.00","01/01/2013","0.000","1122.10","1060.90","0:00:00","","1","1060.90","10:12:00","1","0","Timekeeper","1060.90","0:06:00","12/27/2013","Slip: t4","T@1","","G:12349","0","Hourly","","0.00","0.000000","104.01","10:06:00","0.00","0.00","1","10:12:00"
"2845","Billable","0.00","0","01/01/2013","0.00","Open","204.004","Timeslips","Expense","Pending","0:00:00","1104.50","841.52","EXP","0.00","0.00","262.98","841.52","0.00","841.52","01/01/2013","4.125","841.52","0.00","0:00:00","","1","841.52","0:00:00","1","0","Timekeeper","883.60","0:00:00","12/27/2013","Slip: e5","T@1","","G:12349","0","Hourly","","0.00","0.050000","0.00","0:00:00","1104.50","42.08","1","0:00:00"
"2846","Override","0.00","0","01/01/2013","0.00","Open","205.005","Timeslips","Expense","Pending","0:00:00","1103.18","1050.65","EXP","0.00","0.00","52.53","1050.65","0.00","1050.65","01/01/2013","5.125","1050.65","0.00","0:00:00","","1","1050.65","0:00:00","1","0","Timekeeper","1103.18","0:00:00","12/27/2013","Slip: e6","T@1","","G:12349","0","Hourly","","0.00","0.050000","0.00","0:00:00","1103.18","52.53","1","0:00:00"
"2847","Do Not Bill","0.00","0","01/01/2013","0.00","Open","206.006","Timeslips","Expense","Pending","0:00:00","0.00","1261.79","EXP","0.00","0.00","(1261.79)","1261.79","0.00","0.00","01/01/2013","6.125","1261.79","1261.79","0:00:00","","1","1261.79","0:00:00","1","0","Timekeeper","1324.88","0:00:00","12/27/2013","Slip: e7","T@1","","G:12349","0","Hourly","","0.00","0.050000","0.00","0:00:00","0.00","63.09","1","0:00:00"
"2848","No Charge","0.00","0","01/01/2013","0.00","Open","203.003","Timeslips","Expense","Pending","0:00:00","0.00","634.38","EXP","0.00","0.00","(634.38)","634.38","0.00","0.00","01/01/2013","3.125","634.38","634.38","0:00:00","","1","634.38","0:00:00","1","0","Timekeeper","666.10","0:00:00","12/27/2013","Slip: e8","T@1","","G:12349","0","Hourly","","0.00","0.050000","0.00","0:00:00","0.00","31.72","1","0:00:00"
