"Abington","0.00","0.00","0.00","1018.43","2289.58","3308.01","1018.43"
"Acton","0.00","0.00","0.00","35.28","2525.99","2561.27","35.28"
"Acushnet","0.00","32.82","0.00","212.96","207.84","453.62","245.78"
"Adams","0.00","357.78","0.00","313.59","136.69","808.06","671.37"
"Agawam","0.00","125.32","0.00","635.37","0.00","760.69","760.69"
"Alford","0.00","0.00","0.00","455.87","388.99","844.86","455.87"
"Amesbury","0.00","192.38","0.00","599.22","2013.81","2805.41","791.60"
"Amherst","0.00","237.20","0.00","1474.19","357.82","2069.21","1711.39"
"Andover","0.00","1327.68","0.00","3746.20","3056.54","8130.42","5073.88"
"Aquinnah","0.00","0.00","0.00","976.89","1832.87","2809.76","976.89"
"Arlington","0.00","1189.38","0.00","0.00","2077.33","3266.71","1189.38"
"Ashburnham","0.00","19.16","0.00","1202.20","2337.36","3558.72","1221.36"
"Ashby","0.00","122.95","0.00","131.43","2571.22","2825.60","254.38"
"Ashfield","0.00","232.57","0.00","233.29","250.40","716.26","465.86"
"Ashland","0.00","652.22","0.00","342.73","449.85","1444.80","994.95"
"Athol","0.00","446.23","0.00","677.94","0.00","1124.17","1124.17"
"Attleboro","0.00","0.00","0.00","307.59","923.59","1231.18","307.59"
"Auburn","0.00","654.60","0.00","5.79","1152.89","1813.28","660.39"
"Avon","0.00","769.52","0.00","763.93","9.43","1542.88","1533.45"
"Ayer","0.00","968.28","0.00","879.38","1625.70","3473.36","1847.66"
"Barnstable","0.00","0.00","0.00","3033.15","1849.47","4882.62","3033.15"
"Barre","0.00","0.00","0.00","0.00","1987.83","1987.83","0.00"
"Becket","0.00","0.00","0.00","497.43","4.02","501.45","497.43"
"Bedford","0.00","260.47","0.00","1.11","2568.73","2830.31","261.58"
"Belchertown","0.00","0.00","0.00","9.53","247.61","257.14","9.53"
"Bellingham","0.00","1521.10","0.00","797.90","482.76","2801.76","2319.00"
"Belmont","0.00","1192.41","0.00","1958.40","0.00","3150.81","3150.81"
"Berkley","0.00","0.00","0.00","1396.77","907.42","2304.19","1396.77"
"Berlin","0.00","815.15","0.00","0.00","1135.11","1950.26","815.15"
"Bernardston","0.00","725.73","0.00","643.09","8.27","1377.09","1368.82"
"Beverly","0.00","1337.81","0.00","1203.21","903.37","3444.39","2541.02"
"Billerica","0.00","0.00","0.00","1687.03","1896.38","3583.41","1687.03"
