"Abington","5422.37","741.55","0.00","0.00","1140.88","7304.80","6163.92"
"Acton","5018.98","882.08","1609.67","0.00","(1.38)","7509.35","7510.73"
"Acushnet","2156.81","948.27","1834.31","0.00","1593.63","6533.02","4939.39"
"Adams","1869.90","152.49","2239.35","159.11","2008.93","6429.78","4420.85"
"Agawam","434.73","1138.41","2297.30","0.00","2072.05","5942.49","3870.44"
"Alford","2009.84","521.67","2966.15","407.90","2737.95","8643.51","5905.56"
"Amesbury","10031.22","2292.74","2309.16","2069.44","4638.76","21341.32","16702.56"
"Amherst","4844.84","709.85","839.69","362.41","597.35","7354.14","6756.79"
"Andover","12793.73","2162.65","1491.58","1479.64","1983.15","19910.75","17927.60"
"Aquinnah","4251.87","452.04","916.51","23.55","23.97","5667.94","5643.97"
"Arlington","5702.71","0.00","1174.38","28.26","950.47","7855.82","6905.35"
"Ashburnham","6439.66","814.95","30.81","29.94","1181.14","8496.50","7315.36"
"Ashby","6074.73","905.30","1644.13","35.44","36.77","8696.37","8659.60"
"Ashfield","3058.40","1009.88","1867.75","24.86","1615.19","7576.08","5960.89"
"Ashland","2699.50","11.95","2099.68","0.00","1865.57","6676.70","4811.13"
"Athol","1489.16","1196.78","2314.38","20.55","2097.89","7118.76","5020.87"
"Attleboro","1364.23","112.47","2575.91","6.55","2344.80","6403.96","4059.16"
"Auburn","2985.49","236.45","252.12","14.28","14.81","3503.15","3488.34"
"Avon","3126.18","352.45","15.28","14.85","262.94","3771.70","3508.76"
"Ayer","3700.43","16.22","16.29","15.83","460.69","4209.46","3748.77"
"Barnstable","6322.02","1412.06","954.51","10.62","36.94","8736.15","8699.21"
"Barre","1915.64","8.65","1133.16","12.56","934.19","4004.20","3070.01"
"Becket","2912.39","361.93","13.90","13.51","1164.09","4465.82","3301.73"
"Bedford","6546.85","1461.38","1649.02","40.20","41.71","9739.16","9697.45"
"Belchertown","2577.69","57.34","1861.71","18.99","1648.55","6164.28","4515.73"
"Bellingham","5557.10","24.13","2111.92","48.51","1857.77","9599.43","7741.66"
"Belmont","3909.76","3535.65","2378.08","15.28","2129.46","11968.23","9838.77"
"Berkley","3003.67","469.33","2559.31","24.79","2353.28","8410.38","6057.10"
"Berlin","3087.38","277.09","262.37","15.44","2585.66","6227.94","3642.28"
"Bernardston","2841.48","295.83","483.75","15.42","262.97","3899.45","3636.48"
