"Abington","513.13","854.26","0.00","751.65","0.00","2119.04","2119.04","4358.28","0.00","0.00","0.00","0.00","4358.28","4358.28","0.00","0.00","0.00","0.00","4.42","4.42","0.00","","4871.41","854.26","0.00","751.65","4.42","6481.74","6477.32","09/27/2013","9/27/2013 ($25.08)",""
"Acton","0.00","967.80","0.00","882.08","0.00","1849.88","1849.88","4357.48","0.00","0.00","0.00","1614.49","5971.97","4357.48","0.00","0.00","0.00","0.00","4.27","4.27","0.00","","4357.48","967.80","0.00","882.08","1618.76","7826.12","6207.36","09/27/2013","9/27/2013 ($25.08)",""
"Acushnet","0.00","0.00","0.00","948.27","0.00","948.27","948.27","2466.11","0.00","0.00","0.00","1843.40","4309.51","2466.11","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","2466.11","0.00","0.00","948.27","1843.40","5257.78","3414.38","09/27/2013","9/27/2013 ($25.08)",""
"Adams","151.07","1200.21","0.00","0.00","0.00","1351.28","1351.28","528.90","149.03","152.99","152.49","2248.44","3231.85","983.41","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","679.97","1349.24","152.99","152.49","2248.44","4583.13","2334.69","09/27/2013","9/27/2013 ($25.08)",""
"Agawam","231.35","101.75","0.00","1138.41","0.00","1471.51","1471.51","416.93","0.00","0.00","0.00","2316.49","2733.42","416.93","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","648.28","101.75","0.00","1138.41","2316.49","4204.93","1888.44","09/27/2013","9/27/2013 ($25.08)",""
"Alford","349.83","231.22","0.00","127.37","0.00","708.42","708.42","770.62","385.31","367.44","385.31","2954.95","4863.63","1908.68","6.72","4.79","0.00","8.99","11.20","31.70","20.50","","1127.17","621.32","367.44","521.67","2966.15","5603.75","2637.60","09/27/2013","7/27/2013 ($25.06)",""
"Amesbury","1282.19","639.09","299.41","539.80","299.41","3059.90","2760.49","4340.93","1709.25","1709.89","1709.89","1957.42","11427.38","9469.96","17.19","0.00","33.27","43.05","52.33","145.84","93.51","","5640.31","2348.34","2042.57","2292.74","2309.16","14633.12","12323.96","09/27/2013","8/28/2013 ($107.08)",""
"Amherst","2293.40","1023.79","346.23","689.28","346.23","4698.93","4352.70","1133.53","0.00","0.00","0.00","469.87","1603.40","1133.53","13.97","15.07","18.85","20.57","23.59","92.05","68.46","","3440.90","1038.86","365.08","709.85","839.69","6394.38","5554.69","09/27/2013","7/28/2013 ($108.07)",""
"Andover","7827.47","1886.99","1436.69","2107.86","1436.69","14695.70","13259.01","1614.49","0.00","0.00","0.00","0.00","1614.49","1614.49","49.50","40.77","46.93","54.79","63.98","255.97","191.99","","9491.46","1927.76","1483.62","2162.65","1500.67","16566.16","15065.49","09/27/2013","6/28/2013 ($109.06)",""
"Aquinnah","866.84","0.00","0.00","441.60","0.00","1308.44","1308.44","3447.36","0.00","0.00","0.00","916.51","4363.87","3447.36","11.55","18.37","17.85","10.44","0.00","58.21","58.21","","4325.75","18.37","17.85","452.04","916.51","5730.52","4814.01","09/27/2013","9/27/2013 ($25.08)",""
