"Abington","1805.64","0.00","0.00","0.00","0.00","1805.64","1805.64","4358.28","0.00","0.00","1140.88","0.00","5499.16","5499.16","0.00","0.00","0.00","0.00","6.90","6.90","0.00","","6163.92","0.00","0.00","1140.88","6.90","7311.70","7304.80","12/27/2013","12/27/2013 ($25.11)",""
"Acton","1849.88","0.00","0.00","0.00","0.00","1849.88","1849.88","4051.18","1609.67","0.00","0.00","0.00","5660.85","5660.85","0.00","0.00","0.00","0.00","7.37","7.37","0.00","","5901.06","1609.67","0.00","0.00","7.37","7518.10","7510.73","12/27/2013","12/27/2013 ($25.11)",""
"Acushnet","948.27","0.00","0.00","0.00","0.00","948.27","948.27","2156.81","1834.31","0.00","1593.63","0.00","5584.75","5584.75","0.00","0.00","0.00","0.00","5.73","5.73","0.00","","3105.08","1834.31","0.00","1593.63","5.73","6538.75","6533.02","12/27/2013","12/27/2013 ($25.11)",""
"Adams","1200.21","0.00","0.00","0.00","0.00","1200.21","1200.21","822.18","2239.35","159.11","2008.93","170.94","5400.51","5229.57","0.00","0.00","0.00","0.00","6.30","6.30","0.00","","2022.39","2239.35","159.11","2008.93","177.24","6607.02","6429.78","12/27/2013","12/27/2013 ($25.11)",""
"Agawam","1240.16","0.00","0.00","0.00","0.00","1240.16","1240.16","332.98","2297.30","0.00","2072.05","0.00","4702.33","4702.33","0.00","0.00","0.00","0.00","5.30","5.30","0.00","","1573.14","2297.30","0.00","2072.05","5.30","5947.79","5942.49","12/27/2013","12/27/2013 ($25.11)",""
"Alford","602.33","0.00","0.00","0.00","0.00","602.33","602.33","1908.68","2954.95","385.31","2712.87","385.31","8347.12","7961.81","20.50","11.20","22.59","25.08","35.52","114.89","79.37","","2531.51","2966.15","407.90","2737.95","420.83","9064.34","8643.51","12/27/2013","9/28/2013 ($106.09)",""
"Amesbury","2760.49","299.41","299.41","299.41","299.41","3958.13","3658.72","9469.96","1957.42","1709.89","4279.53","1709.89","19126.69","17416.80","93.51","52.33","60.14","59.82","62.59","328.39","265.80","","12323.96","2309.16","2069.44","4638.76","2071.89","23413.21","21341.32","12/27/2013","12/27/2013 ($25.11)",""
"Amherst","4352.70","346.23","346.23","346.23","346.23","5737.62","5391.39","1133.53","469.87","0.00","247.53","0.00","1850.93","1850.93","68.46","23.59","16.18","3.59","30.22","142.04","111.82","","5554.69","839.69","362.41","597.35","376.45","7730.59","7354.14","12/27/2013","11/27/2013 ($25.10)",""
"Andover","13149.90","1436.69","1436.69","1436.69","1436.69","18896.66","17459.97","1614.49","0.00","0.00","469.87","0.00","2084.36","2084.36","191.99","54.89","42.95","76.59","81.83","448.25","366.42","","14956.38","1491.58","1479.64","1983.15","1518.52","21429.27","19910.75","12/27/2013","11/28/2013 ($109.11)",""
"Aquinnah","1198.34","0.00","0.00","0.00","0.00","1198.34","1198.34","3447.36","916.51","0.00","0.00","0.00","4363.87","4363.87","58.21","0.00","23.55","23.97","23.29","129.02","105.73","","4703.91","916.51","23.55","23.97","23.29","5691.23","5667.94","12/27/2013","10/28/2013 ($110.10)",""
"Arlington","1724.36","0.00","0.00","0.00","0.00","1724.36","1724.36","3927.32","1150.07","0.00","921.15","0.00","5998.54","5998.54","51.03","24.31","28.26","29.32","32.28","165.20","132.92","","5702.71","1174.38","28.26","950.47","32.28","7888.10","7855.82","12/27/2013","9/28/2013 ($111.09)",""
"Ashburnham","2766.79","0.00","0.00","0.00","0.00","2766.79","2766.79","4415.24","0.00","0.00","1150.07","0.00","5565.31","5565.31","72.58","30.81","29.94","31.07","34.92","199.32","164.40","","7254.61","30.81","29.94","1181.14","34.92","8531.42","8496.50","12/27/2013","8/28/2013 ($112.08)",""
"Ashby","2022.09","0.00","0.00","0.00","0.00","2022.09","2022.09","4897.20","1614.49","0.00","0.00","0.00","6511.69","6511.69","60.74","29.64","35.44","36.77","10.63","173.22","162.59","","6980.03","1644.13","35.44","36.77","10.63","8707.00","8696.37","12/27/2013","12/27/2013 ($25.11)",""
"Ashfield","1232.22","0.00","0.00","0.00","0.00","1232.22","1232.22","2793.89","1849.99","0.00","1614.49","0.00","6258.37","6258.37","42.17","17.76","24.86","0.70","31.13","116.62","85.49","","4068.28","1867.75","24.86","1615.19","31.13","7607.21","7576.08","12/27/2013","11/28/2013 ($114.11)",""
"Ashland","1975.17","0.00","0.00","0.00","0.00","1975.17","1975.17","697.38","2087.68","0.00","1849.99","0.00","4635.05","4635.05","38.90","12.00","0.00","15.58","27.44","93.92","66.48","","2711.45","2099.68","0.00","1865.57","27.44","6704.14","6676.70","12/27/2013","11/27/2013 ($4.85)",""
"Athol","2208.25","0.00","0.00","0.00","0.00","2208.25","2208.25","458.07","2314.38","0.00","2087.68","0.00","4860.13","4860.13","19.62","0.00","20.55","10.21","29.26","79.64","50.38","","2685.94","2314.38","20.55","2097.89","29.26","7148.02","7118.76","12/27/2013","9/28/2013 ($116.09)",""
"Attleboro","536.74","0.00","0.00","0.00","0.00","536.74","536.74","921.15","2569.64","0.00","2327.56","0.00","5818.35","5818.35","18.81","6.27","6.55","17.24","26.32","75.19","48.87","","1476.70","2575.91","6.55","2344.80","26.32","6430.28","6403.96","12/27/2013","8/28/2013 ($117.08)",""
"Auburn","1122.65","0.00","0.00","0.00","0.00","1122.65","1122.65","2071.22","247.53","0.00","0.00","0.00","2318.75","2318.75","28.07","4.59","14.28","14.81","14.40","76.15","61.75","","3221.94","252.12","14.28","14.81","14.40","3517.55","3503.15","12/27/2013","8/27/2013 ($12.31)",""
