"Abington","02351","Open","Town of Abington 1712 Abington Road Abington, MA 02351 US","617-712 1712","","","","","","County of Plymouth","10/14/2013","2:52:12","Plymouth","1286.00","159850.000","0.287100","Open town meeting","CoreyM","TomH","CoreyM","JamesR","By billing value on each slip","None applied","By billing value on each slip","None applied","","None applied","MyTaxes","0 Minutes","0.3333","0.000000","5.00% Charge at 30 days","Compound, Grace Period 0 days","","None","","Established in 1712"
"Acton","01720","Open","Town of Acton 1735 Acton Road Acton, MA 01720 US","617-735 1735","","","","","","County of Middlesex","06/15/2013","1:39:36","Middlesex","1165.00","219240.000","0.166100","Open town meeting","TomH","TomH","CoreyM","JamesR","By billing value on each slip","None applied","By billing value on each slip","None applied","","None applied","MyTaxes","0 Minutes","0.3333","0.000000","5.00% Charge at 30 days","Compound, Grace Period 0 days","","None","","Established in 1735"
"Acushnet","02743","Open","Town of Acushnet 1860 Acushnet Road Acushnet, MA 02743 US","617-860 1860","","","","","","County of Bristol","12/06/2013","3:24:00","Bristol","1339.00","103030.000","0.340100","Open town meeting","JamesR","TomH","CoreyM","JamesR","By billing value on each slip","None applied","By billing value on each slip","None applied","","None applied","MyTaxes","0 Minutes","0.3333","0.000000","5.00% Charge at 30 days","Compound, Grace Period 0 days","","None","","Established in 1860"
"Adams","01220","Open","Town of Adams 1778 Adams Road Adams, MA 01220 US","617-778 1778","","","","","","County of Berkshire","02/18/2013","0:29:24","Berkshire","1048.00","84850.000","0.049100","Representative town meeting","ShawnR","TomH","CoreyM","JamesR","By billing value on each slip","None applied","By billing value on each slip","None applied","","None applied","MyTaxes","0 Minutes","0.3333","0.000000","5.00% Charge at 30 days","Compound, Grace Period 0 days","","None","","Established in 1778"
"Agawam","01001","Open","City of Agawam 1855 Agawam Road Address 1b Address 1c Agawam, MA 01001 US","617-855 1855","","","","","","County of Hampden","01/01/2013","0:00:36","Hampden","1000.00","284380.000","0.001100","Mayor-council","TomH","TomH","CoreyM","JamesR","By billing value on each slip","None applied","By billing value on each slip","None applied","","None applied","MyTaxes","0 Minutes","0.3333","0.000000","5.00% Charge at 30 days","Compound, Grace Period 0 days","","None","","Client Notes edit"
"Alford","01230x","Open","Town of Alford 1773 Alford Road Alford, MA 01230x US","617-773 1773","","","","","","County of Berkshire","02/24/2013","0:33:00","Berkshire","1054.00","4940.000","0.055100","Open town meeting","JamesR","TomH","CoreyM","JamesR","By billing value on each slip","None applied","By billing value on each slip","None applied","","None applied","MyTaxes","0 Minutes","0.3333","0.000000","5.00% Charge at 30 days","Compound, Grace Period 0 days","","None","","Established in 1773"
"Amesbury","01913","Open","City of Amesbury 1668 Amesbury Road Amesbury, MA 01913 US","617-668 1668","","","","","","County of Essex","08/02/2013","2:08:24","Essex","1213.00","162830.000","0.214100","Mayor-council","ShawnR","TomH","CoreyM","JamesR","By billing value on each slip","None applied","By billing value on each slip","None applied","","None applied","MyTaxes","0 Minutes","0.3333","0.000000","5.00% Charge at 30 days","Compound, Grace Period 0 days","","None","","Established in 1668"
"Amherst","01003","Open","Town of Amherst 1775 Amherst Road Amherst, MA 01003 US","617-775 1775","","","","","","County of Hampshire","01/03/2013","0:01:48","Hampshire","1002.00","378190.000","0.003100","Representative town meeting","SamS","TomH","CoreyM","JamesR","By billing value on each slip","None applied","By billing value on each slip","None applied","","None applied","MyTaxes","0 Minutes","0.3333","0.000000","5.00% Charge at 30 days","Compound, Grace Period 0 days","","None","","Established in 1775"
"Andover","01810","Open","Town of Andover 1646 Andover Road Andover, MA 01810 US","617-646 1646","","","","","","County of Essex","07/08/2013","1:53:24","Essex","1188.00","332010.000","0.189100","Open town meeting","ShawnR","TomH","CoreyM","JamesR","By billing value on each slip","None applied","By billing value on each slip","None applied","","None applied","MyTaxes","0 Minutes","0.3333","0.000000","5.00% Charge at 30 days","Compound, Grace Period 0 days","","None","","Established in 1646"
"Aquinnah","02535x","Open","Town of Aquinnah 1870 Aquinnah Road Aquinnah, MA 02535x US","617-870 1870","","","","","","County of Dukes","11/04/2013","3:04:48","Dukes","1307.00","3110.000","0.308100","Open town meeting","SamS","TomH","CoreyM","JamesR","By billing value on each slip","None applied","By billing value on each slip","None applied","","None applied","MyTaxes","0 Minutes","0.3333","0.000000","5.00% Charge at 30 days","Compound, Grace Period 0 days","","None","","Established in 1870"
"Arlington","02474","Open","Town of Arlington 1807 Arlington Road Arlington, MA 02474 US","617-807 1807","","","","","","County of Middlesex","10/28/2013","3:00:36","Middlesex","1300.00","428440.000","0.301100","Representative town meeting","TomH","TomH","CoreyM","JamesR","By billing value on each slip","None applied","By billing value on each slip","None applied","","None applied","MyTaxes","0 Minutes","0.3333","0.000000","5.00% Charge at 30 days","Compound, Grace Period 0 days","","None","","Established in 1807"
"Ashburnham","01430","Open","Town of Ashburnham 1765 Ashburnham Road Ashburnham, MA 01430 US","617-765 1765","","","","","","County of Worcester","04/19/2013","1:05:24","Worcester","1108.00","60810.000","0.109100","Open town meeting","ShawnR","TomH","CoreyM","JamesR","By billing value on each slip","None applied","By billing value on each slip","None applied","","None applied","MyTaxes","0 Minutes","0.3333","0.000000","5.00% Charge at 30 days","Compound, Grace Period 0 days","","None","","Established in 1765"
"Ashby","01431","Open","Town of Ashby 1767 Ashby Road Ashby, MA 01431 US","617-767 1767","","","","","","County of Middlesex","04/20/2013","1:06:00","Middlesex","1109.00","30740.000","0.110100","Open town meeting","JamesR","TomH","CoreyM","JamesR","By billing value on each slip","None applied","By billing value on each slip","None applied","","None applied","MyTaxes","0 Minutes","0.3333","0.000000","5.00% Charge at 30 days","Compound, Grace Period 0 days","","None","","Established in 1767"
"Ashfield","01330","Open","Town of Ashfield 1765 Ashfield Road Ashfield, MA 01330 US","617-765 1765","","","","","","County of Franklin","03/23/2013","0:49:12","Franklin","1081.00","17370.000","0.082100","Open town meeting","CoreyM","TomH","CoreyM","JamesR","By billing value on each slip","None applied","By billing value on each slip","None applied","","None applied","MyTaxes","0 Minutes","0.3333","0.000000","5.00% Charge at 30 days","Compound, Grace Period 0 days","","None","","Established in 1765"
"Ashland","01721","Open","Town of Ashland 1846 Ashland Road Ashland, MA 01721 US","617-846 1846","","","","","","County of Middlesex","06/16/2013","1:40:12","Middlesex","1166.00","165930.000","0.167100","Open town meeting","CoreyM","TomH","CoreyM","JamesR","By billing value on each slip","None applied","By billing value on each slip","None applied","","None applied","MyTaxes","0 Minutes","0.3333","0.000000","5.00% Charge at 30 days","Compound, Grace Period 0 days","","None","","Established in 1846"
"Athol","01331","Open","Town of Athol 1762 Athol Road Athol, MA 01331 US","617-762 1762","","","","","","County of Worcester","03/24/2013","0:49:48","Worcester","1082.00","115840.000","0.083100","Open town meeting","SamS","TomH","CoreyM","JamesR","By billing value on each slip","None applied","By billing value on each slip","None applied","","None applied","MyTaxes","0 Minutes","0.3333","0.000000","5.00% Charge at 30 days","Compound, Grace Period 0 days","","None","","Established in 1762"
"Attleboro","02703","Open","City of Attleboro 1694 Attleboro Road Attleboro, MA 02703 US","617-694 1694","","","","","","County of Bristol","11/26/2013","3:18:00","Bristol","1329.00","435930.000","0.330100","Mayor-council","JamesR","TomH","CoreyM","JamesR","By billing value on each slip","None applied","By billing value on each slip","None applied","","None applied","MyTaxes","0 Minutes","0.3333","0.000000","5.00% Charge at 30 days","Compound, Grace Period 0 days","","None","","Established in 1694"
"Auburn","01501","Open","Town of Auburn 1778 Auburn Road Auburn, MA 01501 US","617-778 1778","","","","","","County of Worcester","05/05/2013","1:15:00","Worcester","1124.00","161880.000","0.125100","Representative town meeting","JamesR","TomH","CoreyM","JamesR","By billing value on each slip","None applied","By billing value on each slip","None applied","","None applied","MyTaxes","0 Minutes","0.3333","0.000000","5.00% Charge at 30 days","Compound, Grace Period 0 days","","None","","Established in 1778"
"Avon","02322","Open","Town of Avon 1888 Avon Road Avon, MA 02322 US","617-888 1888","","","","","","County of Norfolk","10/02/2013","2:45:00","Norfolk","1274.00","43560.000","0.275100","Open town meeting","JamesR","TomH","CoreyM","JamesR","By billing value on each slip","None applied","By billing value on each slip","None applied","","None applied","MyTaxes","0 Minutes","0.3333","0.000000","5.00% Charge at 30 days","Compound, Grace Period 0 days","","None","","Established in 1888"
"Ayer","01432","Open","Town of Ayer 1871 Ayer Road Ayer, MA 01432 US","617-871 1871","","","","","","County of Middlesex","04/21/2013","1:06:36","Middlesex","1110.00","74270.000","0.111100","Open town meeting","TomH","TomH","CoreyM","JamesR","By billing value on each slip","None applied","By billing value on each slip","None applied","","None applied","MyTaxes","0 Minutes","0.3333","0.000000","5.00% Charge at 30 days","Compound, Grace Period 0 days","","None","","Established in 1871"
"Barnstable","02630","Open","City of Barnstable 1638 Barnstable Road Barnstable, MA 02630 US","617-638 1638","","","","","","County of Barnstable","11/13/2013","3:10:12","Barnstable","1316.00","451930.000","0.317100","Council-manager","CoreyM","TomH","CoreyM","JamesR","By billing value on each slip","None applied","By billing value on each slip","None applied","","None applied","MyTaxes","0 Minutes","0.3333","0.000000","5.00% Charge at 30 days","Compound, Grace Period 0 days","","None","","Established in 1638"
"Barre","01005","Open","Town of Barre 1774 Barre Road Barre, MA 01005 US","617-774 1774","","","","","","County of Worcester","01/04/2013","0:02:24","Worcester","1003.00","53980.000","0.004100","Open town meeting","ShawnR","TomH","CoreyM","JamesR","By billing value on each slip","None applied","By billing value on each slip","None applied","","None applied","MyTaxes","0 Minutes","0.3333","0.000000","5.00% Charge at 30 days","Compound, Grace Period 0 days","","None","","Established in 1774"
"Becket","01223","Open","Town of Becket 1765 Becket Road Becket, MA 01223 US","617-765 1765","","","","","","County of Berkshire","02/19/2013","0:30:00","Berkshire","1049.00","17790.000","0.050100","Open town meeting","JamesR","TomH","CoreyM","JamesR","By billing value on each slip","None applied","By billing value on each slip","None applied","","None applied","MyTaxes","0 Minutes","0.3333","0.000000","5.00% Charge at 30 days","Compound, Grace Period 0 days","","None","","Established in 1765"
"Bedford","01730","Open","Town of Bedford 1729 Bedford Road Bedford, MA 01730 US","617-729 1729","","","","","","County of Middlesex","06/17/2013","1:40:48","Middlesex","1167.00","133200.000","0.168100","Open town meeting","SamS","TomH","CoreyM","JamesR","By billing value on each slip","None applied","By billing value on each slip","None applied","","None applied","MyTaxes","0 Minutes","0.3333","0.000000","5.00% Charge at 30 days","Compound, Grace Period 0 days","","None","","Established in 1729"
"Belchertown","01007","Open","Town of Belchertown 1761 Belchertown Road Belchertown, MA 01007 US","617-761 1761","","","","","","County of Hampshire","01/05/2013","0:03:00","Hampshire","1004.00","146490.000","0.005100","Open town meeting","JamesR","TomH","CoreyM","JamesR","By billing value on each slip","None applied","By billing value on each slip","None applied","","None applied","MyTaxes","0 Minutes","0.3333","0.000000","5.00% Charge at 30 days","Compound, Grace Period 0 days","","None","","Established in 1761"
"Bellingham","02019","Open","Town of Bellingham 1719 Bellingham Road Bellingham, MA 02019 US","617-719 1719","","","","","","County of Norfolk","08/24/2013","2:21:36","Norfolk","1235.00","163320.000","0.236100","Open town meeting","TomH","TomH","CoreyM","JamesR","By billing value on each slip","None applied","By billing value on each slip","None applied","","None applied","MyTaxes","0 Minutes","0.3333","0.000000","5.00% Charge at 30 days","Compound, Grace Period 0 days","","None","","Established in 1719"
"Belmont","02478","Open","Town of Belmont 1859 Belmont Road Belmont, MA 02478 US","617-859 1859","","","","","","County of Middlesex","10/29/2013","3:01:12","Middlesex","1301.00","247290.000","0.302100","Representative town meeting","CoreyM","TomH","CoreyM","JamesR","By billing value on each slip","None applied","By billing value on each slip","None applied","","None applied","MyTaxes","0 Minutes","0.3333","0.000000","5.00% Charge at 30 days","Compound, Grace Period 0 days","","None","","Established in 1859"
"Berkley","02779","Open","Town of Berkley 1735 Berkley Road Berkley, MA 02779 US","617-735 1735","","","","","","County of Bristol","12/15/2013","3:29:24","Bristol","1348.00","64110.000","0.349100","Open town meeting","ShawnR","TomH","CoreyM","JamesR","By billing value on each slip","None applied","By billing value on each slip","None applied","","None applied","MyTaxes","0 Minutes","0.3333","0.000000","5.00% Charge at 30 days","Compound, Grace Period 0 days","","None","","Established in 1735"
"Berlin","01503","Open","Town of Berlin 1812 Berlin Road Berlin, MA 01503 US","617-812 1812","","","","","","County of Worcester","05/06/2013","1:15:36","Worcester","1125.00","28660.000","0.126100","Open town meeting","TomH","TomH","CoreyM","JamesR","By billing value on each slip","None applied","By billing value on each slip","None applied","","None applied","MyTaxes","0 Minutes","0.3333","0.000000","5.00% Charge at 30 days","Compound, Grace Period 0 days","","None","","Established in 1812"
"Bernardston","01337","Open","Town of Bernardston 1762 Bernardston Road Bernardston, MA 01337 US","617-762 1762","","","","","","County of Franklin","03/26/2013","0:51:00","Franklin","1084.00","21290.000","0.085100","Open town meeting","JamesR","TomH","CoreyM","JamesR","By billing value on each slip","None applied","By billing value on each slip","None applied","","None applied","MyTaxes","0 Minutes","0.3333","0.000000","5.00% Charge at 30 days","Compound, Grace Period 0 days","","None","","Established in 1762"
"Beverly","01915","Open","City of Beverly 1668 Beverly Road Beverly, MA 01915 US","617-668 1668","","","","","","County of Essex","08/03/2013","2:09:00","Essex","1214.00","395020.000","0.215100","Mayor-council","JamesR","TomH","CoreyM","JamesR","By billing value on each slip","None applied","By billing value on each slip","None applied","","None applied","MyTaxes","0 Minutes","0.3333","0.000000","5.00% Charge at 30 days","Compound, Grace Period 0 days","","None","","Established in 1668"
"Billerica","01821","Open","Town of Billerica 1655 Billerica Road Billerica, MA 01821 US","617-655 1655","","","","","","County of Middlesex","07/09/2013","1:54:00","Middlesex","1189.00","402430.000","0.190100","Representative town meeting","JamesR","TomH","CoreyM","JamesR","By billing value on each slip","None applied","By billing value on each slip","None applied","","None applied","MyTaxes","0 Minutes","0.3333","0.000000","5.00% Charge at 30 days","Compound, Grace Period 0 days","","None","","Established in 1655"
"Blackstone","01504","Open","Town of Blackstone 1845 Blackstone Road Blackstone, MA 01504 US","617-845 1845","","","","","","County of Worcester","05/07/2013","1:16:12","Worcester","1126.00","90260.000","0.127100","Open town meeting","CoreyM","TomH","CoreyM","JamesR","By billing value on each slip","None applied","By billing value on each slip","None applied","","None applied","MyTaxes","0 Minutes","0.3333","0.000000","5.00% Charge at 30 days","Compound, Grace Period 0 days","","None","","Established in 1845"
"Blandford","01008","Open","Town of Blandford 1741 Blandford Road Blandford, MA 01008 US","617-741 1741","","","","","","County of Hampden","01/06/2013","0:03:36","Hampden","1005.00","12330.000","0.006100","Open town meeting","TomH","TomH","CoreyM","JamesR","By billing value on each slip","None applied","By billing value on each slip","None applied","","None applied","MyTaxes","0 Minutes","0.3333","0.000000","5.00% Charge at 30 days","Compound, Grace Period 0 days","","None","","Established in 1741"
"Bolton","01740","Open","Town of Bolton 1738 Bolton Road Bolton, MA 01740 US","617-738 1738","","","","","","County of Worcester","06/18/2013","1:41:24","Worcester","1168.00","48970.000","0.169100","Open town meeting","ShawnR","TomH","CoreyM","JamesR","By billing value on each slip","None applied","By billing value on each slip","None applied","","None applied","MyTaxes","0 Minutes","0.3333","0.000000","5.00% Charge at 30 days","Compound, Grace Period 0 days","","None","","Established in 1738"
"Boston","02108","Open","City of Boston 1630 Boston Road Boston, MA 02108 US","617-630 1630","","","","","","County of Suffolk","09/16/2013","2:35:24","Suffolk","1258.00","1880972.704","0.259100","Mayor-council","ShawnR","TomH","CoreyM","JamesR","By billing value on each slip","None applied","By billing value on each slip","None applied","","None applied","MyTaxes","0 Minutes","0.3333","0.000000","5.00% Charge at 30 days","Compound, Grace Period 0 days","","None","","Established in 1630"
"Bourne","02532","Open","Town of Bourne 1884 Bourne Road Bourne, MA 02532 US","617-884 1884","","","","","","County of Barnstable","11/02/2013","3:03:36","Barnstable","1305.00","197540.000","0.306100","Open town meeting","TomH","TomH","CoreyM","JamesR","By billing value on each slip","None applied","By billing value on each slip","None applied","","None applied","MyTaxes","0 Minutes","0.3333","0.000000","5.00% Charge at 30 days","Compound, Grace Period 0 days","","None","","Established in 1884"
