"Abington","3202.93","04/27/2013","-425","04/28/2013","101.04","258.000","617-712 1712"
"Acton","2455.19","04/27/2013","-643","04/28/2013","102.04","40.000","617-735 1735"
"Acushnet","346.54","04/27/2013","-405","04/28/2013","103.04","278.000","617-860 1860"
"Adams","699.98","04/27/2013","-178","04/28/2013","104.04","505.000","617-778 1778"
"Agawam","651.61","02/27/2013","-484","04/28/2013","105.04","258.000","617-855 1855"
"Alford","738.82","04/27/2013","59","04/28/2013","106.04","742.000","617-773 1773"
"Amesbury","2805.41","04/27/2013","60","03/28/2013","107.03","743.000","617-668 1668"
"Amherst","2069.21","04/27/2013","60","02/28/2013","108.02","743.000","617-775 1775"
"Andover","8130.42","04/27/2013","60","04/27/2013","25.03","743.000","617-646 1646"
"Aquinnah","2809.76","04/27/2013","59","04/27/2013","25.02","742.000","617-870 1870"
"Arlington","3155.67","04/27/2013","-425","04/28/2013","111.04","258.000","617-807 1807"
"Ashburnham","3558.72","04/27/2013","60","03/28/2013","112.03","743.000","617-765 1765"
"Ashby","2825.60","04/27/2013","60","02/28/2013","113.02","743.000","617-767 1767"
"Ashfield","712.22","04/27/2013","60","01/28/2013","114.01","743.000","617-765 1765"
"Ashland","1444.80","04/27/2013","-178","04/27/2013","25.03","505.000","617-846 1846"
"Athol","1008.13","02/27/2013","-484","04/28/2013","116.04","258.000","617-762 1762"
"Attleboro","1231.18","04/27/2013","59","03/28/2013","117.03","742.000","617-694 1694"
"Auburn","1813.28","04/27/2013","60","02/28/2013","118.02","743.000","617-778 1778"
"Avon","1542.88","04/27/2013","60","01/28/2013","119.01","743.000","617-888 1888"
"Ayer","3473.36","04/27/2013","60","","0.00","743.000","617-871 1871"
"Barnstable","4761.58","04/27/2013","59","04/28/2013","121.04","742.000","617-638 1638"
"Barre","1987.83","04/27/2013","-653","04/27/2013","24.84","30.000","617-774 1774"
"Becket","497.41","02/27/2013","-726","02/28/2013","123.02","16.000","617-765 1765"
"Bedford","2830.31","04/27/2013","-178","01/28/2013","124.01","505.000","617-729 1729"
"Belchertown","257.14","04/27/2013","59","","0.00","742.000","617-761 1761"
"Bellingham","2675.72","04/27/2013","60","04/28/2013","126.04","743.000","617-719 1719"
"Belmont","3150.81","03/27/2013","-209","04/27/2013","20.87","505.000","617-859 1859"
"Berkley","2304.19","04/27/2013","59","04/27/2013","25.02","742.000","617-735 1735"
"Berlin","1950.26","04/27/2013","-425","04/27/2013","18.42","258.000","617-812 1812"
"Bernardston","1377.09","04/27/2013","60","","0.00","743.000","617-762 1762"
"Beverly","3313.35","04/27/2013","60","04/28/2013","131.04","743.000","617-668 1668"
"Billerica","3579.37","04/27/2013","59","03/28/2013","132.03","742.000","617-655 1655"
"Blackstone","3450.63","04/27/2013","60","04/27/2013","25.03","743.000","617-845 1845"
"Blandford","2280.68","04/27/2013","0","04/27/2013","25.02","0.000","617-741 1741"
"Bolton","3148.02","04/27/2013","60","02/27/2013","25.01","743.000","617-738 1738"
"Boston","1582.40","04/27/2013","60","04/28/2013","136.04","743.000","617-630 1630"
"Bourne","3358.04","04/27/2013","60","03/28/2013","137.03","743.000","617-884 1884"
"Boxborough","1664.99","04/27/2013","60","02/28/2013","138.02","743.000","617-835 1835"
"Boxford","1707.94","04/27/2013","59","04/27/2013","25.03","742.000","617-685 1685"
"Boylston","2096.88","04/27/2013","-178","04/27/2013","21.34","505.000","617-785 1785"
"Braintree","1569.98","04/27/2013","60","04/28/2013","141.04","743.000","617-640 1640"
"Brewster","3453.46","04/27/2013","60","03/28/2013","142.03","743.000","617-803 1803"
"Bridgewater","2755.41","04/27/2013","59","02/28/2013","143.02","742.000","617-656 1656"
"Brimfield","3250.27","04/27/2013","60","01/28/2013","144.01","743.000","617-731 1731"
"Brockton","3734.17","04/27/2013","60","04/27/2013","25.03","743.000","617-821 1821"
"Brookfield","2762.12","04/27/2013","-178","04/28/2013","146.04","505.000","617-718 1718"
"Brookline","657.34","04/27/2013","60","03/28/2013","147.03","743.000","617-705 1705"
"Buckland","889.08","04/27/2013","60","02/28/2013","148.02","743.000","617-779 1779"
"Burlington","309.44","04/27/2013","60","01/28/2013","149.01","743.000","617-799 1799"
"Cambridge","1375.50","04/27/2013","59","","0.00","742.000","617-636 1636"
"Canton","1782.93","04/27/2013","60","04/28/2013","151.04","743.000","617-797 1797"
"Carlisle","1574.02","02/27/2013","-484","04/27/2013","9.77","258.000","617-780 1780"
"Carver","3408.50","04/27/2013","60","02/28/2013","153.02","743.000","617-790 1790"
"Charlemont","2747.43","04/27/2013","59","01/28/2013","154.01","742.000","617-765 1765"
"Charlton","3398.39","04/27/2013","60","","0.00","743.000","617-775 1775"
"Chatham","3604.59","04/27/2013","-167","04/28/2013","156.04","516.000","617-712 1712"
"Chelmsford","2750.85","04/27/2013","60","04/27/2013","25.03","743.000","617-655 1655"
"Chelsea","646.53","04/27/2013","-178","04/27/2013","24.31","505.000","617-739 1739"
"Cheshire","1319.03","04/27/2013","60","02/27/2013","25.01","743.000","617-793 1793"
"Chester","1148.06","04/27/2013","-178","","0.00","505.000","617-765 1765"
"Chesterfield","1220.46","04/27/2013","59","04/28/2013","161.04","742.000","617-762 1762"
"Chicopee","1782.46","04/27/2013","60","03/28/2013","162.03","743.000","617-848 1848"
"Chilmark","1501.07","03/27/2013","-209","04/27/2013","9.38","505.000","617-714 1714"
"Clarksburg","3299.83","04/27/2013","-178","04/27/2013","21.83","505.000","617-798 1798"
"Clinton","2809.08","04/27/2013","59","02/27/2013","25.01","742.000","617-850 1850"
"Cohasset","3125.15","04/27/2013","60","04/28/2013","166.04","743.000","617-775 1775"
"Colrain","3570.52","04/27/2013","-178","03/28/2013","167.03","505.000","617-761 1761"
"Concord","2835.22","04/27/2013","60","02/28/2013","168.02","743.000","617-635 1635"
"Conway","702.78","04/27/2013","-178","04/27/2013","25.03","505.000","617-775 1775"
"Cummington","1445.30","04/27/2013","-178","04/27/2013","22.52","505.000","617-779 1779"
"Dalton","937.49","04/27/2013","60","04/28/2013","171.04","743.000","617-784 1784"
"Danvers","1201.75","04/27/2013","59","03/28/2013","172.03","742.000","617-775 1775"
"Dartmouth","607.38","04/27/2013","60","02/28/2013","173.02","743.000","617-664 1664"
"Dedham","722.94","04/27/2013","60","01/28/2013","174.01","743.000","617-636 1636"
"Deerfield","2467.64","04/27/2013","59","04/27/2013","25.03","742.000","617-677 1677"
"Dennis","2663.23","04/27/2013","59","04/28/2013","176.04","742.000","617-793 1793"
"Dighton","3298.00","04/27/2013","-425","04/27/2013","15.11","258.000","617-712 1712"
"Douglas","3697.66","04/27/2013","75","","0.00","758.000","617-775 1775"
"Dover","2955.56","04/27/2013","60","","0.00","743.000","617-836 1836"
"Dracut","823.19","04/27/2013","60","","0.00","743.000","617-701 1701"
"Dudley","1805.60","04/27/2013","60","04/28/2013","181.04","743.000","617-732 1732"
"Dunstable","1909.25","02/27/2013","-484","04/27/2013","12.90","258.000","617-673 1673"
"Duxbury","1935.69","04/27/2013","59","02/28/2013","183.02","742.000","617-637 1637"
"East.Bridgewater","2573.27","04/27/2013","-425","04/28/2013","184.04","258.000","617-823 1823"
"East.Brookfield","1901.57","02/27/2013","-484","04/28/2013","11.04","258.000","617-920 1920"
"East.Longmeadow","1303.76","04/27/2013","-653","04/28/2013","186.04","30.000","617-894 1894"
"Eastham","4729.79","04/27/2013","59","04/27/2013","25.03","742.000","617-646 1646"
"Easthampton","2013.93","04/27/2013","-667","04/27/2013","25.02","16.000","617-809 1809"
"Easton","5752.71","04/27/2013","60","02/27/2013","25.01","743.000","617-725 1725"
"Edgartown","3674.49","04/27/2013","60","","0.00","743.000","617-671 1671"
"Egremont","482.78","04/27/2013","60","04/28/2013","191.04","743.000","617-775 1775"
"Erving","1197.29","04/27/2013","60","03/28/2013","192.03","743.000","617-838 1838"
"Essex","2173.25","03/27/2013","-209","04/27/2013","14.64","505.000","617-819 1819"
"Everett","1859.24","04/27/2013","59","04/27/2013","25.02","742.000","617-870 1870"
"Fairhaven","3654.00","04/27/2013","-425","04/27/2013","4.78","258.000","617-812 1812"
"Fall River","5224.50","04/27/2013","60","04/28/2013","196.04","743.000","617-803 1803"
"Falmouth","7085.53","04/27/2013","60","03/28/2013","197.03","743.000","617-686 1686"
