"Abington","6481.74","09/27/2013","-120","09/27/2013","25.08","414.000","617-712 1712"
"Acton","7826.12","09/27/2013","-202","09/27/2013","25.08","332.000","617-735 1735"
"Acushnet","5257.78","09/27/2013","-339","09/27/2013","25.08","195.000","617-860 1860"
"Adams","4583.13","09/27/2013","-27","09/27/2013","25.08","507.000","617-778 1778"
"Agawam","4204.93","09/27/2013","-195","09/27/2013","25.08","339.000","617-855 1855"
"Alford","5603.75","09/27/2013","112","07/27/2013","25.06","646.000","617-773 1773"
"Amesbury","14633.12","09/27/2013","138","08/28/2013","107.08","672.000","617-668 1668"
"Amherst","6394.38","09/27/2013","138","07/28/2013","108.07","672.000","617-775 1775"
"Andover","16566.16","09/27/2013","138","06/28/2013","109.06","672.000","617-646 1646"
"Aquinnah","5730.52","09/27/2013","112","09/27/2013","25.08","646.000","617-870 1870"
"Arlington","6988.18","09/27/2013","-116","09/27/2013","0.38","418.000","617-807 1807"
"Ashburnham","7285.42","09/27/2013","67","08/28/2013","112.08","601.000","617-765 1765"
"Ashby","8624.16","09/27/2013","138","07/28/2013","113.07","672.000","617-767 1767"
"Ashfield","6050.14","09/27/2013","138","06/28/2013","114.06","672.000","617-765 1765"
"Ashland","4926.23","09/27/2013","48","05/28/2013","115.05","582.000","617-846 1846"
"Athol","5116.41","09/27/2013","-38","09/27/2013","25.08","496.000","617-762 1762"
"Attleboro","4052.61","09/27/2013","112","08/28/2013","117.08","646.000","617-694 1694"
"Auburn","3483.15","09/27/2013","63","08/27/2013","12.31","597.000","617-778 1778"
"Avon","3613.02","09/27/2013","138","06/28/2013","119.06","672.000","617-888 1888"
"Ayer","3853.04","09/27/2013","55","06/27/2013","10.77","589.000","617-871 1871"
"Barnstable","8809.68","09/27/2013","112","04/28/2013","121.04","646.000","617-638 1638"
"Barre","3057.45","09/27/2013","-132","09/27/2013","25.08","402.000","617-774 1774"
"Becket","3288.22","09/27/2013","-74","08/27/2013","25.07","460.000","617-765 1765"
"Bedford","9781.36","09/27/2013","48","07/27/2013","25.06","582.000","617-729 1729"
"Belchertown","4621.84","09/27/2013","-201","08/27/2013","2.46","333.000","617-761 1761"
"Bellingham","7819.24","09/27/2013","138","05/27/2013","25.04","672.000","617-719 1719"
"Belmont","9832.58","09/27/2013","52","08/28/2013","127.08","586.000","617-859 1859"
"Berkley","6032.31","09/27/2013","112","09/27/2013","25.08","646.000","617-735 1735"
"Berlin","3755.95","09/27/2013","-46","08/27/2013","25.07","488.000","617-812 1812"
