"Bid","71208.64","0.000000","0.00","71208.64"
"Build Structure","19825.33","0.000000","0.00","19825.33"
"Clean","82530.85","0.009884","815.73","83346.58"
"Cleanup Supplies","81200.64","0.053614","4353.46","85554.10"
"Consultants","272172.80","0.050001","13608.96","285781.76"
"DemoS","36861.44","0.000000","0.00","36861.44"
"DesignL","111832.55","-0.010172","(1137.54)","110695.01"
"DesignS","103914.24","0.000000","0.00","103914.24"
"First aid","161509.12","0.053612","8658.90","170168.02"
"Fix","52653.71","0.000000","0.00","52653.71"
"Hand Tools","28944.64","0.050015","1447.68","30392.32"
"Landscape Supplies","214638.89","0.049998","10731.50","225370.39"
"Lot Maintenance","162780.21","0.009042","1471.92","164252.13"
"Pave","173096.44","0.000000","0.00","173096.44"
"Pavers","106873.04","0.045664","4880.28","111753.32"
"Planting","141732.09","-0.008968","(1271.01)","140461.08"
"Plants","188789.76","0.050003","9440.00","198229.76"
"Power Tools","54944.00","0.045688","2510.26","57454.26"
"Safety","300480.00","0.050002","15024.64","315504.64"
"Snacks","242215.67","0.050000","12110.72","254326.39"
"Water Feature","165997.66","0.009548","1585.02","167582.68"
"Wood","133432.55","0.053638","7157.08","140589.63"
