"Bid","71208.64","0.000000","0.00","71208.64"
"Build Structure","19825.33","0.000000","0.00","19825.33"
"Clean","83592.27","0.016264","1359.55","84951.82"
"Cleanup Supplies","81835.02","0.057170","4678.48","86513.50"
"Consultants","272172.80","0.050001","13608.96","285781.76"
"DemoS","36861.44","0.000000","0.00","36861.44"
"DesignL","113345.55","-0.016727","(1895.90)","111449.65"
"DesignS","103914.24","0.000000","0.00","103914.24"
"First aid","162770.91","0.057169","9305.37","172076.28"
"Fix","52653.71","0.000000","0.00","52653.71"
"Hand Tools","28944.64","0.050015","1447.68","30392.32"
"Landscape Supplies","214638.89","0.049998","10731.50","225370.39"
"Lot Maintenance","164695.47","0.014895","2453.20","167148.67"
"Pave","173096.44","0.000000","0.00","173096.44"
"Pavers","107714.56","0.041392","4458.48","112173.04"
"Planting","143422.61","-0.014770","(2118.35)","141304.26"
"Plants","188789.76","0.050003","9440.00","198229.76"
"Power Tools","55373.25","0.041448","2295.10","57668.35"
"Safety","300480.00","0.050002","15024.64","315504.64"
"Snacks","242215.67","0.050000","12110.72","254326.39"
"Water Feature","168060.10","0.015719","2641.70","170701.80"
"Wood","134483.20","0.057222","7695.38","142178.58"
