"Client Nickname 1","% Billable Costs","% Billable Fees","% Billable Fees & Costs","% Billable Hours","% Profit. Fees & Costs","% Profitability Costs","% Profitability Fees","% Profitability Full Bill","Actual Costs","Actual Fees","Actual Fees & Costs","Adjustment Profit. Bill","Adjustment Profit. Costs","Adjustment Profit. Fees","Adjustment Profit. Total","","Billable Costs","Billable Fees","Billable Fees & Costs","Billable Hours","Credits","","Expense Slip Value","Finance Charge","Flat Arrg Costs","Flat Arrg Costs G/L","Flat Arrg Fees","Flat Arrg Fees G/L","Interest","Invoice Charges","Markdown Billable Costs","Markdown Billable Fees","Markup Billable Costs","Markup Billable Fees","Payments","Profit. Fees & Costs","Profitability Costs","Profitability Fees","Profitability Full Bill","Refunds","Slip Time Spent","Time Slip Value","Total A/R","Total Finance & Interest","Total Hours","Total Markup+Down Costs","Total Markup+Down Fees","Total Slip Costs","Total Slip Fees","Total Slip Fees & Costs","Total Tax","Total Tax Costs","Total Tax Fees","Total Write Downs","Total Write Ups","Unbillable Costs","Unbillable Fees","Unbillable Fees & Costs","Unbillable Hours","Write Down Bill","Write Down Costs","Write Down Fees","Write Offs","Write Up Bill","Write Up Costs","Write Up Fees",
"Abington","76.17","100.00","84.27","100.00","(15.73)","(23.83)","0.00","0.00","4235.24","2861.27","7096.51","0.00","0.00","0.00","0.00","102.92","4235.24","2861.27","7096.51","27:48:00","36.36","102.92","5295.35","15.92","0.00","0.00","0.00","0.00","119.94","7526.82","0.00","0.00","201.68","0.00","1008.72","(1324.88)","(1324.88)","0.00","0.00","0.00","27:48:00","2861.27","6481.74","135.86","27:48:00","201.68","0.00","5560.12","2861.27","8421.39","294.45","180.00","114.45","0.00","0.00","1324.88","0.00","1324.88","0:00:00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Acton","100.00","100.00","100.00","100.00","0.00","0.00","0.00","0.00","6246.22","2154.40","8400.62","0.00","0.00","0.00","0.00","103.58","6246.22","2154.40","8400.62","20:48:00","36.36","103.58","5948.77","23.92","0.00","0.00","0.00","0.00","103.02","8879.20","0.00","0.00","297.45","0.00","1016.72","0.00","0.00","0.00","0.00","0.00","20:48:00","2154.40","7826.12","126.94","20:48:00","297.45","0.00","6246.22","2154.40","8400.62","351.64","265.47","86.17","0.00","0.00","0.00","0.00","0.00","0:00:00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Acushnet","100.00","58.44","84.81","58.87","(15.19)","0.00","(41.56)","0.00","4476.89","1506.45","5983.34","0.00","0.00","0.00","0.00","103.18","4476.89","1506.45","5983.34","14:36:00","36.36","60.74","4263.70","31.92","0.00","0.00","0.00","0.00","53.07","6318.86","0.00","0.00","213.19","0.00","1024.72","(1071.31)","0.00","(1071.31)","0.00","0.00","24:48:00","2577.76","5257.78","84.99","24:48:00","213.19","0.00","4476.89","2577.76","7054.65","250.53","190.27","60.26","0.00","0.00","0.00","1071.31","1071.31","10:12:00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Adams","100.00","66.67","84.18","66.88","(20.30)","(8.53)","(33.33)","0.00","3223.83","2122.43","5346.26","0.00","(300.72)","0.00","(300.72)","103.03","3524.55","2122.43","5646.98","20:36:00","36.36","68.91","4708.84","39.92","0.00","0.00","0.00","0.00","44.12","5652.21","1290.96","0.00","106.67","0.00","1032.72","(1361.93)","(300.72)","(1061.21)","0.00","0.00","30:48:00","3183.64","4583.13","84.04","30:48:00","(1184.29)","0.00","3524.55","3183.64","6708.19","221.91","137.02","84.89","300.72","0.00","0.00","1061.21","1061.21","10:12:00","0.00","300.72","0.00","0.00","0.00","0.00","0.00"
"Agawam","31.79","100.00","46.47","100.00","(53.53)","(68.21)","0.00","0.00","2683.38","2313.74","4997.12","0.00","0.00","0.00","0.00","101.48","2683.38","2313.74","4997.12","22:48:00","36.36","101.48","6361.88","47.92","0.00","0.00","0.00","0.00","30.37","5282.01","0.00","0.00","127.78","0.00","1040.72","(5756.40)","(5756.40)","0.00","0.00","0.00","22:48:00","2313.74","4204.93","78.29","22:48:00","127.78","0.00","8439.78","2313.74","10753.52","206.60","114.05","92.55","0.00","0.00","5756.40","0.00","5756.40","0:00:00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Alford","88.21","9.81","42.24","13.97","(59.96)","(17.11)","(90.19)","0.00","4682.48","786.05","5468.53","0.00","(300.72)","0.00","(300.72)","103.43","4983.20","786.05","5769.25","7:36:00","3.03","14.45","8031.00","0.00","0.00","0.00","0.00","0.00","38.89","5737.88","2530.80","0.00","117.38","0.00","131.10","(8190.40)","(966.82)","(7223.58)","0.00","0.00","54:24:00","5562.44","5603.75","38.89","54:24:00","(2413.42)","0.00","5649.30","8009.63","13658.93","230.46","199.02","31.44","300.72","0.00","666.10","7223.58","7889.68","46:48:00","0.00","300.72","0.00","0.00","0.00","0.00","0.00"
"Amesbury","100.00","80.18","94.13","84.15","(6.82)","2.88","(29.87)","0.00","10962.12","3148.78","14110.90","0.00","307.38","(804.87)","(497.49)","56.74","10654.74","3599.95","14254.69","63:27:00","2.02","41.76","7371.55","0.00","0.00","0.00","0.00","0.00","171.52","14874.30","0.00","3412.62","3283.19","0.00","239.16","(1033.45)","307.38","(1340.83)","0.00","0.00","75:24:00","7902.23","14633.12","171.52","75:24:00","3283.19","(3412.62)","10654.74","4489.61","15144.35","591.88","465.90","125.98","804.87","307.38","0.00","889.66","889.66","11:57:00","0.00","0.00","804.87","0.00","0.00","307.38","0.00"
"Amherst","11.95","93.72","36.33","92.53","(66.10)","(88.05)","(14.45)","0.00","1553.89","4726.93","6280.82","0.00","0.00","(798.12)","(798.12)","61.90","1553.89","5178.01","6731.90","83:39:00","1.01","52.29","9050.64","0.00","0.00","0.00","0.00","0.00","100.55","6636.52","0.00","3813.03","73.99","0.00","241.13","(12247.68)","(11449.56)","(798.12)","0.00","0.00","90:24:00","9338.08","6394.38","100.55","90:24:00","73.99","(3813.03)","13003.45","5525.05","18528.50","255.15","66.05","189.10","798.12","0.00","11449.56","347.04","11796.60","6:45:00","0.00","0.00","798.12","0.00","0.00","0.00","0.00"
"Andover","43.75","92.89","83.48","93.34","(14.03)","(56.25)","(4.03)","0.00","1548.67","14340.15","15888.82","0.00","0.00","(601.56)","(601.56)","146.64","1548.67","13879.08","15427.75","94:39:00","0.00","141.42","3371.09","0.00","0.00","0.00","0.00","0.00","281.00","16809.26","0.00","0.00","73.75","4415.76","243.10","(2592.54)","(1990.98)","(601.56)","0.00","0.00","101:24:00","10525.95","16566.16","281.00","101:24:00","73.75","4415.76","3539.65","14941.71","18481.36","639.44","65.82","573.62","601.56","0.00","1990.98","1062.63","3053.61","6:45:00","0.00","0.00","601.56","0.00","0.00","0.00","0.00"
"Aquinnah","100.00","8.56","27.65","12.14","(72.35)","0.00","(91.44)","0.00","4206.84","1363.94","5570.78","0.00","0.00","0.00","0.00","101.79","4206.84","1363.94","5570.78","13:24:00","8.08","12.35","4006.51","0.00","0.00","0.00","0.00","0.00","94.63","5898.75","0.00","0.00","200.33","0.00","160.15","(14577.36)","0.00","(14577.36)","0.00","0.00","110:24:00","11186.24","5730.52","94.63","110:24:00","200.33","0.00","4206.84","15941.30","20148.14","233.34","178.79","54.55","0.00","0.00","0.00","14577.36","14577.36","97:00:00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Arlington","100.00","53.86","80.81","54.44","(19.19)","0.00","(46.14)","0.00","4880.32","1871.62","6751.94","0.00","0.00","0.00","0.00","101.72","4880.32","1871.62","6751.94","18:24:00","7.07","55.37","4647.93","0.00","0.00","0.00","0.00","0.00","122.14","7156.37","0.00","0.00","232.39","0.00","161.12","(1603.09)","0.00","(1603.09)","0.00","0.00","33:48:00","3474.71","6988.18","122.14","33:48:00","232.39","0.00","4880.32","3474.71","8355.03","282.29","207.42","74.87","0.00","0.00","0.00","1603.09","1603.09","15:24:00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Ashburnham","76.17","100.00","84.29","100.00","(15.71)","(23.83)","0.00","0.00","4235.24","2875.32","7110.56","0.00","0.00","0.00","0.00","103.43","4235.24","2875.32","7110.56","27:48:00","6.06","103.43","5295.35","0.00","0.00","0.00","0.00","0.00","135.07","7540.65","0.00","0.00","201.68","0.00","249.17","(1324.88)","(1324.88)","0.00","0.00","0.00","27:48:00","2875.32","7285.42","135.07","27:48:00","201.68","0.00","5560.12","2875.32","8435.44","295.02","180.00","115.02","0.00","0.00","1324.88","0.00","1324.88","0:00:00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
