"Abington","01/27/2013","0.00","0.00","0.00","0.00","(103.00)","127.31","","0.00","0.00","1.99","0.00","(1.01)","1.99","0:00:00","0:00:00","0.00","0.00","0.00","(104.01)","0.00","0.00","0.00","25.29"
"Acton","01/27/2013","0.00","0.00","0.00","0.00","(105.00)","240.28","","0.00","0.00","2.99","0.00","(1.01)","2.99","0:00:00","0:00:00","0.00","0.00","0.00","(106.01)","0.00","0.00","0.00","137.26"
"Acushnet","01/27/2013","0.00","0.00","0.00","0.00","(107.00)","342.89","","0.00","0.00","3.99","0.00","(1.01)","3.99","0:00:00","0:00:00","0.00","0.00","0.00","(108.01)","0.00","0.00","0.00","238.87"
"Adams","01/27/2013","0.00","0.00","0.00","0.00","(109.00)","670.85","","0.00","0.00","4.99","0.00","(1.01)","4.99","0:00:00","0:00:00","0.00","0.00","0.00","(110.01)","0.00","0.00","0.00","565.83"
"Agawam","01/27/2013","0.00","0.00","0.00","0.00","(111.00)","441.39","","0.00","0.00","5.99","0.00","(1.01)","5.99","0:00:00","0:00:00","0.00","0.00","0.00","(112.01)","0.00","0.00","0.00","335.37"
"Amesbury","01/27/2013","338.02","39.30","0.00","0.00","0.00","299.41","01/27/2013","0.00","0.00","0.00","0.00","0.00","299.41","6:27:00","0:45:00","11.52","(89.43)","0.00","0.00","0.00","0.00","0.00","598.82"
"Amherst","01/27/2013","383.03","38.56","0.00","0.00","0.00","346.23","01/27/2013","0.00","0.00","0.00","0.00","(1.01)","346.23","7:27:00","0:45:00","13.32","(88.68)","0.00","(1.01)","0.00","0.00","0.00","691.45"
"Andover","01/27/2013","1330.20","118.07","0.00","0.00","(109.01)","1436.69","01/27/2013","0.00","0.00","0.00","0.00","0.00","1436.69","8:27:00","0:45:00","55.26","(66.84)","0.00","(109.01)","0.00","0.00","0.00","2764.37"
"Aquinnah","01/27/2013","0.00","1559.56","0.00","0.00","0.00","0.00","01/27/2013","0.00","0.00","0.00","0.00","0.00","0.00","0:00:00","10:12:00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Ashfield","01/27/2013","0.00","0.00","0.00","0.00","(114.01)","346.58","","0.00","0.00","0.00","0.00","0.00","0.00","0:00:00","0:00:00","0.00","0.00","0.00","(114.01)","0.00","0.00","0.00","232.57"
"Attleboro","01/27/2013","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","0.00","(1.01)","0.00","0:00:00","0:00:00","0.00","0.00","0.00","(1.01)","0.00","0.00","0.00","(1.01)"
"Avon","01/27/2013","0.00","0.00","0.00","0.00","(119.01)","888.53","","0.00","0.00","0.00","0.00","0.00","0.00","0:00:00","0:00:00","0.00","0.00","0.00","(119.01)","0.00","0.00","0.00","769.52"
"Bedford","01/27/2013","0.00","0.00","0.00","0.00","(124.01)","384.48","","0.00","0.00","0.00","0.00","0.00","0.00","0:00:00","0:00:00","0.00","0.00","0.00","(124.01)","0.00","0.00","0.00","260.47"
"Bellingham","01/27/2013","0.00","0.00","0.00","0.00","0.00","1522.11","","0.00","0.00","0.00","0.00","(1.01)","0.00","0:00:00","0:00:00","0.00","0.00","0.00","(1.01)","0.00","0.00","0.00","1521.10"
"Berlin","01/27/2013","0.00","0.00","0.00","0.00","(129.01)","944.16","","0.00","0.00","0.00","0.00","0.00","0.00","0:00:00","0:00:00","0.00","0.00","0.00","(129.01)","0.00","0.00","0.00","815.15"
"Blackstone","01/27/2013","0.00","0.00","0.00","0.00","0.00","1480.81","","0.00","0.00","0.00","0.00","0.00","0.00","0:00:00","0:00:00","0.00","0.00","(2.01)","(2.01)","0.00","0.00","0.00","1478.80"
"Blandford","01/27/2013","0.00","0.00","0.00","0.00","(134.01)","7.66","","0.00","0.00","34.99","0.00","0.00","34.99","0:00:00","0:00:00","0.00","0.00","0.00","(134.01)","0.00","0.00","0.00","(91.36)"
